min_samples_leaf,min_purity_increase,min_loss_at_leaf,tree_overall_accuracy,tree_mean_accuracy,tree_kappa,forest_overall_accuracy,forest_mean_accuracy,forest_kappa,oob_error
5,0.15,0.5,77.78,97.04,76.19,70.22,96.03,68.1,56.25
5,0.15,0.25,78.89,97.19,77.38,70.44,96.06,68.33,55.21
5,0.15,0.1,77.78,97.04,76.19,70.44,96.06,68.33,56.04
5,0.01,0.5,77.78,97.04,76.19,73.33,96.44,71.43,56.61
5,0.01,0.25,78.89,97.19,77.38,67.56,95.67,65.24,60.45
5,0.01,0.1,77.78,97.04,76.19,67.78,95.7,65.48,57.16
5,0.001,0.5,77.78,97.04,76.19,67.56,95.67,65.24,59.05
5,0.001,0.25,78.89,97.19,77.38,71.78,96.24,69.76,55.8
5,0.001,0.1,77.78,97.04,76.19,71.56,96.21,69.52,55.37
4,0.15,0.5,83.33,97.78,82.14,71.11,96.15,69.05,56.37
4,0.15,0.25,81.11,97.48,79.76,68.22,95.76,65.95,56.28
4,0.15,0.1,83.33,97.78,82.14,72.22,96.3,70.24,55.39
4,0.01,0.5,83.33,97.78,82.14,66.67,95.56,64.29,57.62
4,0.01,0.25,81.11,97.48,79.76,72.67,96.36,70.71,55.86
4,0.01,0.1,83.33,97.78,82.14,74.67,96.62,72.86,53.88
4,0.001,0.5,83.33,97.78,82.14,69.33,95.91,67.14,56.69
4,0.001,0.25,81.11,97.48,79.76,71.33,96.18,69.29,56.14
4,0.001,0.1,83.33,97.78,82.14,72.0,96.27,70.0,55.31
3,0.15,0.5,82.22,97.63,80.95,73.78,96.5,71.9,53.77
3,0.15,0.25,81.11,97.48,79.76,74.89,96.65,73.1,51.34
3,0.15,0.1,82.22,97.63,80.95,72.22,96.3,70.24,56.43
3,0.01,0.5,82.22,97.63,80.95,72.22,96.3,70.24,55.69
3,0.01,0.25,81.11,97.48,79.76,77.11,96.95,75.48,50.88
3,0.01,0.1,82.22,97.63,80.95,76.22,96.83,74.52,52.12
3,0.001,0.5,82.22,97.63,80.95,74.44,96.59,72.62,56.68
3,0.001,0.25,81.11,97.48,79.76,72.89,96.39,70.95,56.14
3,0.001,0.1,82.22,97.63,80.95,75.33,96.71,73.57,53.87
2,0.15,0.5,83.33,97.78,82.14,76.89,96.92,75.24,50.58
2,0.15,0.25,83.33,97.78,82.14,78.0,97.07,76.43,53.06
2,0.15,0.1,83.33,97.78,82.14,76.89,96.92,75.24,52.24
2,0.01,0.5,83.33,97.78,82.14,77.56,97.01,75.95,54.19
2,0.01,0.25,83.33,97.78,82.14,80.67,97.42,79.29,53.33
2,0.01,0.1,82.22,97.63,80.95,76.22,96.83,74.52,54.97
2,0.001,0.5,83.33,97.78,82.14,70.89,96.12,68.81,53.08
2,0.001,0.25,83.33,97.78,82.14,75.33,96.71,73.57,52.79
2,0.001,0.1,82.22,97.63,80.95,75.11,96.68,73.33,54.66
1,0.15,0.5,85.56,98.07,84.52,77.33,96.98,75.71,50.68
1,0.15,0.25,87.78,98.37,86.9,81.33,97.51,80.0,55.34
1,0.15,0.1,85.56,98.07,84.52,82.44,97.66,81.19,49.34
1,0.01,0.5,85.56,98.07,84.52,82.44,97.66,81.19,51.52
1,0.01,0.25,87.78,98.37,86.9,81.78,97.57,80.48,54.38
1,0.01,0.1,87.78,98.37,86.9,81.11,97.48,79.76,52.06
1,0.001,0.5,85.56,98.07,84.52,81.78,97.57,80.48,51.58
1,0.001,0.25,87.78,98.37,86.9,79.56,97.27,78.1,51.97
1,0.001,0.1,87.78,98.37,86.9,82.22,97.63,80.95,50.4
5,0.15,0.5,72.22,96.3,70.24,74.0,96.53,72.14,55.34
5,0.15,0.25,74.44,96.59,72.62,73.56,96.47,71.67,53.1
5,0.15,0.1,73.33,96.44,71.43,67.56,95.67,65.24,57.67
5,0.01,0.5,72.22,96.3,70.24,71.78,96.24,69.76,54.41
5,0.01,0.25,74.44,96.59,72.62,71.78,96.24,69.76,54.16
5,0.01,0.1,73.33,96.44,71.43,71.11,96.15,69.05,56.2
5,0.001,0.5,72.22,96.3,70.24,68.89,95.85,66.67,56.36
5,0.001,0.25,74.44,96.59,72.62,71.33,96.18,69.29,55.9
5,0.001,0.1,73.33,96.44,71.43,74.44,96.59,72.62,56.91
4,0.15,0.5,76.67,96.89,75.0,71.56,96.21,69.52,51.6
4,0.15,0.25,74.44,96.59,72.62,72.22,96.3,70.24,53.67
4,0.15,0.1,75.56,96.74,73.81,74.44,96.59,72.62,53.21
4,0.01,0.5,76.67,96.89,75.0,72.22,96.3,70.24,55.07
4,0.01,0.25,74.44,96.59,72.62,70.44,96.06,68.33,52.08
4,0.01,0.1,75.56,96.74,73.81,74.22,96.56,72.38,54.13
4,0.001,0.5,76.67,96.89,75.0,77.33,96.98,75.71,52.41
4,0.001,0.25,74.44,96.59,72.62,75.56,96.74,73.81,55.55
4,0.001,0.1,75.56,96.74,73.81,69.56,95.94,67.38,54.93
3,0.15,0.5,81.11,97.48,79.76,77.11,96.95,75.48,53.93
3,0.15,0.25,80.0,97.33,78.57,71.78,96.24,69.76,53.21
3,0.15,0.1,82.22,97.63,80.95,78.22,97.1,76.67,53.01
3,0.01,0.5,81.11,97.48,79.76,74.22,96.56,72.38,51.91
3,0.01,0.25,80.0,97.33,78.57,74.89,96.65,73.1,54.33
3,0.01,0.1,82.22,97.63,80.95,79.33,97.24,77.86,50.31
3,0.001,0.5,81.11,97.48,79.76,76.0,96.8,74.29,52.5
3,0.001,0.25,80.0,97.33,78.57,75.56,96.74,73.81,53.21
3,0.001,0.1,82.22,97.63,80.95,78.0,97.07,76.43,53.36
2,0.15,0.5,84.44,97.93,83.33,81.56,97.54,80.24,51.44
2,0.15,0.25,84.44,97.93,83.33,80.67,97.42,79.29,52.98
2,0.15,0.1,83.33,97.78,82.14,79.11,97.21,77.62,52.42
2,0.01,0.5,84.44,97.93,83.33,78.89,97.19,77.38,51.84
2,0.01,0.25,84.44,97.93,83.33,77.56,97.01,75.95,54.18
2,0.01,0.1,83.33,97.78,82.14,83.56,97.81,82.38,50.11
2,0.001,0.5,84.44,97.93,83.33,78.22,97.1,76.67,51.22
2,0.001,0.25,84.44,97.93,83.33,82.67,97.69,81.43,49.66
2,0.001,0.1,83.33,97.78,82.14,73.78,96.5,71.9,55.88
1,0.15,0.5,87.78,98.37,86.9,80.0,97.33,78.57,50.42
1,0.15,0.25,86.67,98.22,85.71,85.33,98.04,84.29,50.83
1,0.15,0.1,87.78,98.37,86.9,83.78,97.84,82.62,47.24
1,0.01,0.5,87.78,98.37,86.9,81.11,97.48,79.76,48.84
1,0.01,0.25,86.67,98.22,85.71,82.22,97.63,80.95,48.16
1,0.01,0.1,85.56,98.07,84.52,79.11,97.21,77.62,53.28
1,0.001,0.5,87.78,98.37,86.9,82.44,97.66,81.19,48.95
1,0.001,0.25,86.67,98.22,85.71,81.56,97.54,80.24,48.71
1,0.001,0.1,85.56,98.07,84.52,84.22,97.9,83.1,49.98
