;T(entropy,2,0.01,0.4)
1,5,1,-2;(20.0, 40.0, 80.0, 66.67, 60.0);
1,10,1,-2;(0.0, 60.0, 40.0, 50.0, 50.0);
1,15,1,-2;(10.0, 60.0, 50.0, 54.55, 55.0);
1,5,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
1,10,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
1,15,2,-2;(90.0, 100.0, 90.0, 90.91, 95.0);
1,5,1,-3;(20.0, 70.0, 50.0, 58.33, 60.0);
1,10,1,-3;(20.0, 50.0, 70.0, 62.5, 60.0);
1,15,1,-3;(-30.0, 40.0, 30.0, 36.36, 35.0);
1,5,2,-3;(-20.0, 40.0, 40.0, 40.0, 40.0);
1,10,2,-3;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,15,2,-3;(-30.0, 40.0, 30.0, 36.36, 35.0);
1,5,1,-4;(-60.0, 20.0, 20.0, 20.0, 20.0);
1,10,1,-4;(-10.0, 20.0, 70.0, 40.0, 45.0);
1,15,1,-4;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,5,2,-4;(-20.0, 30.0, 50.0, 37.5, 40.0);
1,10,2,-4;(0.0, 50.0, 50.0, 50.0, 50.0);
1,15,2,-4;(-40.0, 40.0, 20.0, 33.33, 30.0);
1,5,1,-5;(-10.0, 30.0, 60.0, 42.86, 45.0);
1,10,1,-5;(-40.0, 50.0, 10.0, 35.71, 30.0);
1,15,1,-5;(-50.0, 20.0, 30.0, 22.22, 25.0);
1,5,2,-5;(-50.0, 20.0, 30.0, 22.22, 25.0);
1,10,2,-5;(0.0, 30.0, 70.0, 50.0, 50.0);
1,15,2,-5;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,5,1,-6;(10.0, 60.0, 50.0, 54.55, 55.0);
1,10,1,-6;(10.0, 70.0, 40.0, 53.85, 55.0);
1,15,1,-6;(0.0, 50.0, 50.0, 50.0, 50.0);
1,5,2,-6;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,2,-6;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,15,2,-6;(-70.0, 0.0, 30.0, 0.0, 15.0);
1,5,1,-7;(-20.0, 50.0, 30.0, 41.67, 40.0);
1,10,1,-7;(-30.0, 20.0, 50.0, 28.57, 35.0);
1,15,1,-7;(-10.0, 60.0, 30.0, 46.15, 45.0);
1,5,2,-7;(10.0, 70.0, 40.0, 53.85, 55.0);
1,10,2,-7;(20.0, 90.0, 30.0, 56.25, 60.0);
1,15,2,-7;(30.0, 70.0, 60.0, 63.64, 65.0);
1,5,1,-8;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,10,1,-8;(-20.0, 30.0, 50.0, 37.5, 40.0);
1,15,1,-8;(40.0, 80.0, 60.0, 66.67, 70.0);
1,5,2,-8;(10.0, 40.0, 70.0, 57.14, 55.0);
1,10,2,-8;(-20.0, 30.0, 50.0, 37.5, 40.0);
1,15,2,-8;(30.0, 70.0, 60.0, 63.64, 65.0);
1,5,1,-9;(10.0, 50.0, 60.0, 55.56, 55.0);
1,10,1,-9;(20.0, 50.0, 70.0, 62.5, 60.0);
1,15,1,-9;(40.0, 70.0, 70.0, 70.0, 70.0);
1,5,2,-9;(10.0, 80.0, 30.0, 53.33, 55.0);
1,10,2,-9;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,15,2,-9;(0.0, 70.0, 30.0, 50.0, 50.0);
1,5,1,-10;(0.0, 40.0, 60.0, 50.0, 50.0);
1,10,1,-10;(0.0, 50.0, 50.0, 50.0, 50.0);
1,15,1,-10;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,5,2,-10;(20.0, 60.0, 60.0, 60.0, 60.0);
1,10,2,-10;(-40.0, 50.0, 10.0, 35.71, 30.0);
1,15,2,-10;(10.0, 50.0, 60.0, 55.56, 55.0);
1,5,1,-11;(20.0, 40.0, 80.0, 66.67, 60.0);
1,10,1,-11;(0.0, 20.0, 80.0, 50.0, 50.0);
1,15,1,-11;(-10.0, 50.0, 40.0, 45.45, 45.0);
1,5,2,-11;(0.0, 50.0, 50.0, 50.0, 50.0);
1,10,2,-11;(30.0, 60.0, 70.0, 66.67, 65.0);
1,15,2,-11;(0.0, 40.0, 60.0, 50.0, 50.0);
1,5,1,-12;(-20.0, 50.0, 30.0, 41.67, 40.0);
1,10,1,-12;(50.0, 80.0, 70.0, 72.73, 75.0);
1,15,1,-12;(0.0, 60.0, 40.0, 50.0, 50.0);
1,5,2,-12;(-30.0, 20.0, 50.0, 28.57, 35.0);
1,10,2,-12;(10.0, 70.0, 40.0, 53.85, 55.0);
1,15,2,-12;(-30.0, 20.0, 50.0, 28.57, 35.0);
1,5,1,-13;(0.0, 30.0, 70.0, 50.0, 50.0);
1,10,1,-13;(-40.0, 40.0, 20.0, 33.33, 30.0);
1,15,1,-13;(30.0, 50.0, 80.0, 71.43, 65.0);
1,5,2,-13;(20.0, 60.0, 60.0, 60.0, 60.0);
1,10,2,-13;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,15,2,-13;(-20.0, 40.0, 40.0, 40.0, 40.0);
1,5,1,-14;(20.0, 60.0, 60.0, 60.0, 60.0);
1,10,1,-14;(40.0, 50.0, 90.0, 83.33, 70.0);
1,15,1,-14;(-10.0, 30.0, 60.0, 42.86, 45.0);
1,5,2,-14;(60.0, 80.0, 80.0, 80.0, 80.0);
1,10,2,-14;(10.0, 40.0, 70.0, 57.14, 55.0);
1,15,2,-14;(-10.0, 50.0, 40.0, 45.45, 45.0);
1,5,1,-15;(10.0, 80.0, 30.0, 53.33, 55.0);
1,10,1,-15;(0.0, 40.0, 60.0, 50.0, 50.0);
1,15,1,-15;(10.0, 60.0, 50.0, 54.55, 55.0);
1,5,2,-15;(10.0, 50.0, 60.0, 55.56, 55.0);
1,10,2,-15;(10.0, 50.0, 60.0, 55.56, 55.0);
1,15,2,-15;(40.0, 80.0, 60.0, 66.67, 70.0);
1,5,1,-16;(20.0, 70.0, 50.0, 58.33, 60.0);
1,10,1,-16;(-20.0, 40.0, 40.0, 40.0, 40.0);
1,15,1,-16;(-30.0, 40.0, 30.0, 36.36, 35.0);
1,5,2,-16;(50.0, 90.0, 60.0, 69.23, 75.0);
1,10,2,-16;(-10.0, 50.0, 40.0, 45.45, 45.0);
1,15,2,-16;(10.0, 60.0, 50.0, 54.55, 55.0);
1,5,1,-17;(-10.0, 30.0, 60.0, 42.86, 45.0);
1,10,1,-17;(0.0, 40.0, 60.0, 50.0, 50.0);
1,15,1,-17;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,5,2,-17;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,2,-17;(0.0, 50.0, 50.0, 50.0, 50.0);
1,15,2,-17;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,5,1,-18;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,1,-18;(0.0, 60.0, 40.0, 50.0, 50.0);
1,15,1,-18;(20.0, 60.0, 60.0, 60.0, 60.0);
1,5,2,-18;(10.0, 50.0, 60.0, 55.56, 55.0);
1,10,2,-18;(-10.0, 50.0, 40.0, 45.45, 45.0);
1,15,2,-18;(10.0, 50.0, 60.0, 55.56, 55.0);
1,5,1,-19;(10.0, 60.0, 50.0, 54.55, 55.0);
1,10,1,-19;(20.0, 60.0, 60.0, 60.0, 60.0);
1,15,1,-19;(0.0, 50.0, 50.0, 50.0, 50.0);
1,5,2,-19;(40.0, 80.0, 60.0, 66.67, 70.0);
1,10,2,-19;(-20.0, 60.0, 20.0, 42.86, 40.0);
1,15,2,-19;(-20.0, 40.0, 40.0, 40.0, 40.0);
1,5,1,-20;(10.0, 40.0, 70.0, 57.14, 55.0);
1,10,1,-20;(30.0, 60.0, 70.0, 66.67, 65.0);
1,15,1,-20;(20.0, 70.0, 50.0, 58.33, 60.0);
1,5,2,-20;(10.0, 50.0, 60.0, 55.56, 55.0);
1,10,2,-20;(40.0, 50.0, 90.0, 83.33, 70.0);
1,15,2,-20;(0.0, 50.0, 50.0, 50.0, 50.0);
1,5,1,-21;(30.0, 50.0, 80.0, 71.43, 65.0);
1,10,1,-21;(10.0, 50.0, 60.0, 55.56, 55.0);
1,15,1,-21;(10.0, 40.0, 70.0, 57.14, 55.0);
1,5,2,-21;(20.0, 40.0, 80.0, 66.67, 60.0);
1,10,2,-21;(0.0, 50.0, 50.0, 50.0, 50.0);
1,15,2,-21;(0.0, 30.0, 70.0, 50.0, 50.0);
1,5,1,-22;(-30.0, 40.0, 30.0, 36.36, 35.0);
1,10,1,-22;(-20.0, 30.0, 50.0, 37.5, 40.0);
1,15,1,-22;(-10.0, 50.0, 40.0, 45.45, 45.0);
1,5,2,-22;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,2,-22;(0.0, 50.0, 50.0, 50.0, 50.0);
1,15,2,-22;(-20.0, 20.0, 60.0, 33.33, 40.0);
1,5,1,-23;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,10,1,-23;(50.0, 80.0, 70.0, 72.73, 75.0);
1,15,1,-23;(-10.0, 70.0, 20.0, 46.67, 45.0);
1,5,2,-23;(-30.0, 40.0, 30.0, 36.36, 35.0);
1,10,2,-23;(-20.0, 50.0, 30.0, 41.67, 40.0);
1,15,2,-23;(-10.0, 40.0, 50.0, 44.44, 45.0);
1,5,1,-24;(-30.0, 30.0, 40.0, 33.33, 35.0);
1,10,1,-24;(-20.0, 60.0, 20.0, 42.86, 40.0);
1,15,1,-24;(-20.0, 50.0, 30.0, 41.67, 40.0);
1,5,2,-24;(-20.0, 40.0, 40.0, 40.0, 40.0);
1,10,2,-24;(20.0, 60.0, 60.0, 60.0, 60.0);
1,15,2,-24;(-10.0, 60.0, 30.0, 46.15, 45.0);
2,5,1,-2;(-20.0, 30.0, 50.0, 37.5, 40.0);
2,10,1,-2;(20.0, 40.0, 80.0, 66.67, 60.0);
2,15,1,-2;(40.0, 50.0, 90.0, 83.33, 70.0);
2,5,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
2,10,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
2,15,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
2,5,1,-3;(50.0, 60.0, 90.0, 85.71, 75.0);
2,10,1,-3;(10.0, 60.0, 50.0, 54.55, 55.0);
2,15,1,-3;(0.0, 50.0, 50.0, 50.0, 50.0);
2,5,2,-3;(0.0, 30.0, 70.0, 50.0, 50.0);
2,10,2,-3;(20.0, 50.0, 70.0, 62.5, 60.0);
2,15,2,-3;(0.0, 40.0, 60.0, 50.0, 50.0);
2,5,1,-4;(0.0, 40.0, 60.0, 50.0, 50.0);
2,10,1,-4;(30.0, 70.0, 60.0, 63.64, 65.0);
2,15,1,-4;(-10.0, 50.0, 40.0, 45.45, 45.0);
2,5,2,-4;(10.0, 60.0, 50.0, 54.55, 55.0);
2,10,2,-4;(20.0, 60.0, 60.0, 60.0, 60.0);
2,15,2,-4;(10.0, 60.0, 50.0, 54.55, 55.0);
2,5,1,-5;(-10.0, 50.0, 40.0, 45.45, 45.0);
2,10,1,-5;(0.0, 50.0, 50.0, 50.0, 50.0);
2,15,1,-5;(-10.0, 70.0, 20.0, 46.67, 45.0);
2,5,2,-5;(0.0, 40.0, 60.0, 50.0, 50.0);
2,10,2,-5;(20.0, 70.0, 50.0, 58.33, 60.0);
2,15,2,-5;(20.0, 70.0, 50.0, 58.33, 60.0);
2,5,1,-6;(-40.0, 40.0, 20.0, 33.33, 30.0);
2,10,1,-6;(50.0, 80.0, 70.0, 72.73, 75.0);
2,15,1,-6;(50.0, 80.0, 70.0, 72.73, 75.0);
2,5,2,-6;(40.0, 70.0, 70.0, 70.0, 70.0);
2,10,2,-6;(10.0, 80.0, 30.0, 53.33, 55.0);
2,15,2,-6;(40.0, 90.0, 50.0, 64.29, 70.0);
2,5,1,-7;(0.0, 50.0, 50.0, 50.0, 50.0);
2,10,1,-7;(-30.0, 40.0, 30.0, 36.36, 35.0);
2,15,1,-7;(-30.0, 30.0, 40.0, 33.33, 35.0);
2,5,2,-7;(10.0, 50.0, 60.0, 55.56, 55.0);
2,10,2,-7;(50.0, 80.0, 70.0, 72.73, 75.0);
2,15,2,-7;(0.0, 50.0, 50.0, 50.0, 50.0);
2,5,1,-8;(-10.0, 40.0, 50.0, 44.44, 45.0);
2,10,1,-8;(-20.0, 40.0, 40.0, 40.0, 40.0);
2,15,1,-8;(-30.0, 30.0, 40.0, 33.33, 35.0);
2,5,2,-8;(20.0, 70.0, 50.0, 58.33, 60.0);
2,10,2,-8;(0.0, 40.0, 60.0, 50.0, 50.0);
2,15,2,-8;(-20.0, 50.0, 30.0, 41.67, 40.0);
2,5,1,-9;(20.0, 50.0, 70.0, 62.5, 60.0);
2,10,1,-9;(10.0, 50.0, 60.0, 55.56, 55.0);
2,15,1,-9;(0.0, 60.0, 40.0, 50.0, 50.0);
2,5,2,-9;(-10.0, 50.0, 40.0, 45.45, 45.0);
2,10,2,-9;(0.0, 70.0, 30.0, 50.0, 50.0);
2,15,2,-9;(0.0, 50.0, 50.0, 50.0, 50.0);
2,5,1,-10;(10.0, 60.0, 50.0, 54.55, 55.0);
2,10,1,-10;(30.0, 90.0, 40.0, 60.0, 65.0);
2,15,1,-10;(30.0, 60.0, 70.0, 66.67, 65.0);
2,5,2,-10;(0.0, 40.0, 60.0, 50.0, 50.0);
2,10,2,-10;(-40.0, 10.0, 50.0, 16.67, 30.0);
2,15,2,-10;(40.0, 40.0, 100.0, 100.0, 70.0);
2,5,1,-11;(0.0, 40.0, 60.0, 50.0, 50.0);
2,10,1,-11;(0.0, 30.0, 70.0, 50.0, 50.0);
2,15,1,-11;(20.0, 80.0, 40.0, 57.14, 60.0);
2,5,2,-11;(10.0, 60.0, 50.0, 54.55, 55.0);
2,10,2,-11;(30.0, 70.0, 60.0, 63.64, 65.0);
2,15,2,-11;(40.0, 60.0, 80.0, 75.0, 70.0);
2,5,1,-12;(0.0, 30.0, 70.0, 50.0, 50.0);
2,10,1,-12;(0.0, 20.0, 80.0, 50.0, 50.0);
2,15,1,-12;(20.0, 50.0, 70.0, 62.5, 60.0);
2,5,2,-12;(60.0, 80.0, 80.0, 80.0, 80.0);
2,10,2,-12;(0.0, 40.0, 60.0, 50.0, 50.0);
2,15,2,-12;(-10.0, 50.0, 40.0, 45.45, 45.0);
2,5,1,-13;(0.0, 60.0, 40.0, 50.0, 50.0);
2,10,1,-13;(-10.0, 50.0, 40.0, 45.45, 45.0);
2,15,1,-13;(-10.0, 40.0, 50.0, 44.44, 45.0);
2,5,2,-13;(30.0, 50.0, 80.0, 71.43, 65.0);
2,10,2,-13;(0.0, 60.0, 40.0, 50.0, 50.0);
2,15,2,-13;(-10.0, 30.0, 60.0, 42.86, 45.0);
2,5,1,-14;(0.0, 50.0, 50.0, 50.0, 50.0);
2,10,1,-14;(50.0, 70.0, 80.0, 77.78, 75.0);
2,15,1,-14;(40.0, 70.0, 70.0, 70.0, 70.0);
2,5,2,-14;(10.0, 60.0, 50.0, 54.55, 55.0);
2,10,2,-14;(10.0, 60.0, 50.0, 54.55, 55.0);
2,15,2,-14;(0.0, 50.0, 50.0, 50.0, 50.0);
2,5,1,-15;(20.0, 60.0, 60.0, 60.0, 60.0);
2,10,1,-15;(30.0, 60.0, 70.0, 66.67, 65.0);
2,15,1,-15;(30.0, 70.0, 60.0, 63.64, 65.0);
2,5,2,-15;(-30.0, 30.0, 40.0, 33.33, 35.0);
2,10,2,-15;(40.0, 70.0, 70.0, 70.0, 70.0);
2,15,2,-15;(-30.0, 30.0, 40.0, 33.33, 35.0);
2,5,1,-16;(0.0, 20.0, 80.0, 50.0, 50.0);
2,10,1,-16;(10.0, 50.0, 60.0, 55.56, 55.0);
2,15,1,-16;(0.0, 50.0, 50.0, 50.0, 50.0);
2,5,2,-16;(-10.0, 50.0, 40.0, 45.45, 45.0);
2,10,2,-16;(-60.0, 20.0, 20.0, 20.0, 20.0);
2,15,2,-16;(30.0, 60.0, 70.0, 66.67, 65.0);
2,5,1,-17;(0.0, 40.0, 60.0, 50.0, 50.0);
2,10,1,-17;(20.0, 60.0, 60.0, 60.0, 60.0);
2,15,1,-17;(0.0, 30.0, 70.0, 50.0, 50.0);
2,5,2,-17;(20.0, 40.0, 80.0, 66.67, 60.0);
2,10,2,-17;(-40.0, 30.0, 30.0, 30.0, 30.0);
2,15,2,-17;(-40.0, 40.0, 20.0, 33.33, 30.0);
2,5,1,-18;(30.0, 70.0, 60.0, 63.64, 65.0);
2,10,1,-18;(-10.0, 30.0, 60.0, 42.86, 45.0);
2,15,1,-18;(10.0, 40.0, 70.0, 57.14, 55.0);
2,5,2,-18;(10.0, 40.0, 70.0, 57.14, 55.0);
2,10,2,-18;(-30.0, 30.0, 40.0, 33.33, 35.0);
2,15,2,-18;(40.0, 70.0, 70.0, 70.0, 70.0);
2,5,1,-19;(-30.0, 40.0, 30.0, 36.36, 35.0);
2,10,1,-19;(-10.0, 60.0, 30.0, 46.15, 45.0);
2,15,1,-19;(-10.0, 30.0, 60.0, 42.86, 45.0);
2,5,2,-19;(0.0, 50.0, 50.0, 50.0, 50.0);
2,10,2,-19;(20.0, 60.0, 60.0, 60.0, 60.0);
2,15,2,-19;(30.0, 80.0, 50.0, 61.54, 65.0);
2,5,1,-20;(-40.0, 50.0, 10.0, 35.71, 30.0);
2,10,1,-20;(10.0, 60.0, 50.0, 54.55, 55.0);
2,15,1,-20;(-20.0, 40.0, 40.0, 40.0, 40.0);
2,5,2,-20;(20.0, 50.0, 70.0, 62.5, 60.0);
2,10,2,-20;(10.0, 30.0, 80.0, 60.0, 55.0);
2,15,2,-20;(0.0, 60.0, 40.0, 50.0, 50.0);
2,5,1,-21;(-20.0, 20.0, 60.0, 33.33, 40.0);
2,10,1,-21;(10.0, 60.0, 50.0, 54.55, 55.0);
2,15,1,-21;(-30.0, 20.0, 50.0, 28.57, 35.0);
2,5,2,-21;(0.0, 70.0, 30.0, 50.0, 50.0);
2,10,2,-21;(10.0, 50.0, 60.0, 55.56, 55.0);
2,15,2,-21;(20.0, 30.0, 90.0, 75.0, 60.0);
2,5,1,-22;(0.0, 30.0, 70.0, 50.0, 50.0);
2,10,1,-22;(0.0, 50.0, 50.0, 50.0, 50.0);
2,15,1,-22;(-40.0, 50.0, 10.0, 35.71, 30.0);
2,5,2,-22;(10.0, 70.0, 40.0, 53.85, 55.0);
2,10,2,-22;(0.0, 40.0, 60.0, 50.0, 50.0);
2,15,2,-22;(50.0, 80.0, 70.0, 72.73, 75.0);
2,5,1,-23;(-20.0, 50.0, 30.0, 41.67, 40.0);
2,10,1,-23;(-10.0, 50.0, 40.0, 45.45, 45.0);
2,15,1,-23;(-20.0, 30.0, 50.0, 37.5, 40.0);
2,5,2,-23;(-30.0, 40.0, 30.0, 36.36, 35.0);
2,10,2,-23;(20.0, 60.0, 60.0, 60.0, 60.0);
2,15,2,-23;(-30.0, 10.0, 60.0, 20.0, 35.0);
2,5,1,-24;(-20.0, 40.0, 40.0, 40.0, 40.0);
2,10,1,-24;(-10.0, 40.0, 50.0, 44.44, 45.0);
2,15,1,-24;(0.0, 50.0, 50.0, 50.0, 50.0);
2,5,2,-24;(0.0, 40.0, 60.0, 50.0, 50.0);
2,10,2,-24;(60.0, 80.0, 80.0, 80.0, 80.0);
2,15,2,-24;(-10.0, 40.0, 50.0, 44.44, 45.0);
3,5,1,-2;(-50.0, 20.0, 30.0, 22.22, 25.0);
3,10,1,-2;(30.0, 70.0, 60.0, 63.64, 65.0);
3,15,1,-2;(10.0, 60.0, 50.0, 54.55, 55.0);
3,5,2,-2;(90.0, 100.0, 90.0, 90.91, 95.0);
3,10,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
3,15,2,-2;(100.0, 100.0, 100.0, 100.0, 100.0);
3,5,1,-3;(-30.0, 30.0, 40.0, 33.33, 35.0);
3,10,1,-3;(50.0, 80.0, 70.0, 72.73, 75.0);
3,15,1,-3;(10.0, 60.0, 50.0, 54.55, 55.0);
3,5,2,-3;(0.0, 50.0, 50.0, 50.0, 50.0);
3,10,2,-3;(0.0, 40.0, 60.0, 50.0, 50.0);
3,15,2,-3;(-50.0, 20.0, 30.0, 22.22, 25.0);
3,5,1,-4;(0.0, 50.0, 50.0, 50.0, 50.0);
3,10,1,-4;(-30.0, 40.0, 30.0, 36.36, 35.0);
3,15,1,-4;(-50.0, 30.0, 20.0, 27.27, 25.0);
3,5,2,-4;(-40.0, 30.0, 30.0, 30.0, 30.0);
3,10,2,-4;(-40.0, 30.0, 30.0, 30.0, 30.0);
3,15,2,-4;(-20.0, 50.0, 30.0, 41.67, 40.0);
3,5,1,-5;(-30.0, 50.0, 20.0, 38.46, 35.0);
3,10,1,-5;(10.0, 50.0, 60.0, 55.56, 55.0);
3,15,1,-5;(-40.0, 30.0, 30.0, 30.0, 30.0);
3,5,2,-5;(-40.0, 20.0, 40.0, 25.0, 30.0);
3,10,2,-5;(-20.0, 20.0, 60.0, 33.33, 40.0);
3,15,2,-5;(-20.0, 40.0, 40.0, 40.0, 40.0);
3,5,1,-6;(-20.0, 30.0, 50.0, 37.5, 40.0);
3,10,1,-6;(10.0, 80.0, 30.0, 53.33, 55.0);
3,15,1,-6;(0.0, 50.0, 50.0, 50.0, 50.0);
3,5,2,-6;(10.0, 40.0, 70.0, 57.14, 55.0);
3,10,2,-6;(-10.0, 30.0, 60.0, 42.86, 45.0);
3,15,2,-6;(10.0, 50.0, 60.0, 55.56, 55.0);
3,5,1,-7;(-40.0, 20.0, 40.0, 25.0, 30.0);
3,10,1,-7;(-30.0, 30.0, 40.0, 33.33, 35.0);
3,15,1,-7;(10.0, 60.0, 50.0, 54.55, 55.0);
3,5,2,-7;(-10.0, 40.0, 50.0, 44.44, 45.0);
3,10,2,-7;(-40.0, 20.0, 40.0, 25.0, 30.0);
3,15,2,-7;(-40.0, 40.0, 20.0, 33.33, 30.0);
3,5,1,-8;(0.0, 30.0, 70.0, 50.0, 50.0);
3,10,1,-8;(0.0, 40.0, 60.0, 50.0, 50.0);
3,15,1,-8;(0.0, 40.0, 60.0, 50.0, 50.0);
3,5,2,-8;(10.0, 60.0, 50.0, 54.55, 55.0);
3,10,2,-8;(0.0, 50.0, 50.0, 50.0, 50.0);
3,15,2,-8;(10.0, 60.0, 50.0, 54.55, 55.0);
3,5,1,-9;(-40.0, 10.0, 50.0, 16.67, 30.0);
3,10,1,-9;(-40.0, 20.0, 40.0, 25.0, 30.0);
3,15,1,-9;(-40.0, 10.0, 50.0, 16.67, 30.0);
3,5,2,-9;(-10.0, 40.0, 50.0, 44.44, 45.0);
3,10,2,-9;(-10.0, 30.0, 60.0, 42.86, 45.0);
3,15,2,-9;(-20.0, 40.0, 40.0, 40.0, 40.0);
3,5,1,-10;(-10.0, 40.0, 50.0, 44.44, 45.0);
3,10,1,-10;(-20.0, 20.0, 60.0, 33.33, 40.0);
3,15,1,-10;(-20.0, 30.0, 50.0, 37.5, 40.0);
3,5,2,-10;(0.0, 30.0, 70.0, 50.0, 50.0);
3,10,2,-10;(-20.0, 60.0, 20.0, 42.86, 40.0);
3,15,2,-10;(-20.0, 20.0, 60.0, 33.33, 40.0);
3,5,1,-11;(0.0, 50.0, 50.0, 50.0, 50.0);
3,10,1,-11;(-10.0, 50.0, 40.0, 45.45, 45.0);
3,15,1,-11;(-20.0, 30.0, 50.0, 37.5, 40.0);
3,5,2,-11;(20.0, 40.0, 80.0, 66.67, 60.0);
3,10,2,-11;(30.0, 80.0, 50.0, 61.54, 65.0);
3,15,2,-11;(-30.0, 10.0, 60.0, 20.0, 35.0);
3,5,1,-12;(60.0, 60.0, 100.0, 100.0, 80.0);
3,10,1,-12;(40.0, 80.0, 60.0, 66.67, 70.0);
