;T(entropy,1,0.01,0.4)K;T(entropy,1,0.01,0.4)sensitivity;T(entropy,1,0.01,0.4)specificity;T(entropy,1,0.01,0.4)precision;T(entropy,1,0.01,0.4)accuracy;RF(1,all,all)K;RF(1,all,all)sensitivity;RF(1,all,all)specificity;RF(1,all,all)precision;RF(1,all,all)accuracy;RF(1,all,all)oob_error;RF(1,all,all)σ² K;RF(1,all,all)σ² sensitivity;RF(1,all,all)σ² specificity;RF(1,all,all)σ² precision;RF(1,all,all)σ² accuracy;RF(1,all,all)σ² oob_error;RF(1,all,sqrt)K;RF(1,all,sqrt)sensitivity;RF(1,all,sqrt)specificity;RF(1,all,sqrt)precision;RF(1,all,sqrt)accuracy;RF(1,all,sqrt)oob_error;RF(1,all,sqrt)σ² K;RF(1,all,sqrt)σ² sensitivity;RF(1,all,sqrt)σ² specificity;RF(1,all,sqrt)σ² precision;RF(1,all,sqrt)σ² accuracy;RF(1,all,sqrt)σ² oob_error;RF(1,sqrt,all)K;RF(1,sqrt,all)sensitivity;RF(1,sqrt,all)specificity;RF(1,sqrt,all)precision;RF(1,sqrt,all)accuracy;RF(1,sqrt,all)oob_error;RF(1,sqrt,all)σ² K;RF(1,sqrt,all)σ² sensitivity;RF(1,sqrt,all)σ² specificity;RF(1,sqrt,all)σ² precision;RF(1,sqrt,all)σ² accuracy;RF(1,sqrt,all)σ² oob_error;RF(1,sqrt,sqrt)K;RF(1,sqrt,sqrt)sensitivity;RF(1,sqrt,sqrt)specificity;RF(1,sqrt,sqrt)precision;RF(1,sqrt,sqrt)accuracy;RF(1,sqrt,sqrt)oob_error;RF(1,sqrt,sqrt)σ² K;RF(1,sqrt,sqrt)σ² sensitivity;RF(1,sqrt,sqrt)σ² specificity;RF(1,sqrt,sqrt)σ² precision;RF(1,sqrt,sqrt)σ² accuracy;RF(1,sqrt,sqrt)σ² oob_error;RF(50,all,all)K;RF(50,all,all)sensitivity;RF(50,all,all)specificity;RF(50,all,all)precision;RF(50,all,all)accuracy;RF(50,all,all)oob_error;RF(50,all,all)σ² K;RF(50,all,all)σ² sensitivity;RF(50,all,all)σ² specificity;RF(50,all,all)σ² precision;RF(50,all,all)σ² accuracy;RF(50,all,all)σ² oob_error;RF(50,all,sqrt)K;RF(50,all,sqrt)sensitivity;RF(50,all,sqrt)specificity;RF(50,all,sqrt)precision;RF(50,all,sqrt)accuracy;RF(50,all,sqrt)oob_error;RF(50,all,sqrt)σ² K;RF(50,all,sqrt)σ² sensitivity;RF(50,all,sqrt)σ² specificity;RF(50,all,sqrt)σ² precision;RF(50,all,sqrt)σ² accuracy;RF(50,all,sqrt)σ² oob_error;RF(50,sqrt,all)K;RF(50,sqrt,all)sensitivity;RF(50,sqrt,all)specificity;RF(50,sqrt,all)precision;RF(50,sqrt,all)accuracy;RF(50,sqrt,all)oob_error;RF(50,sqrt,all)σ² K;RF(50,sqrt,all)σ² sensitivity;RF(50,sqrt,all)σ² specificity;RF(50,sqrt,all)σ² precision;RF(50,sqrt,all)σ² accuracy;RF(50,sqrt,all)σ² oob_error;RF(50,sqrt,sqrt)K;RF(50,sqrt,sqrt)sensitivity;RF(50,sqrt,sqrt)specificity;RF(50,sqrt,sqrt)precision;RF(50,sqrt,sqrt)accuracy;RF(50,sqrt,sqrt)oob_error;RF(50,sqrt,sqrt)σ² K;RF(50,sqrt,sqrt)σ² sensitivity;RF(50,sqrt,sqrt)σ² specificity;RF(50,sqrt,sqrt)σ² precision;RF(50,sqrt,sqrt)σ² accuracy;RF(50,sqrt,sqrt)σ² oob_error;RF(100,all,all)K;RF(100,all,all)sensitivity;RF(100,all,all)specificity;RF(100,all,all)precision;RF(100,all,all)accuracy;RF(100,all,all)oob_error;RF(100,all,all)σ² K;RF(100,all,all)σ² sensitivity;RF(100,all,all)σ² specificity;RF(100,all,all)σ² precision;RF(100,all,all)σ² accuracy;RF(100,all,all)σ² oob_error;RF(100,all,sqrt)K;RF(100,all,sqrt)sensitivity;RF(100,all,sqrt)specificity;RF(100,all,sqrt)precision;RF(100,all,sqrt)accuracy;RF(100,all,sqrt)oob_error;RF(100,all,sqrt)σ² K;RF(100,all,sqrt)σ² sensitivity;RF(100,all,sqrt)σ² specificity;RF(100,all,sqrt)σ² precision;RF(100,all,sqrt)σ² accuracy;RF(100,all,sqrt)σ² oob_error;RF(100,sqrt,all)K;RF(100,sqrt,all)sensitivity;RF(100,sqrt,all)specificity;RF(100,sqrt,all)precision;RF(100,sqrt,all)accuracy;RF(100,sqrt,all)oob_error;RF(100,sqrt,all)σ² K;RF(100,sqrt,all)σ² sensitivity;RF(100,sqrt,all)σ² specificity;RF(100,sqrt,all)σ² precision;RF(100,sqrt,all)σ² accuracy;RF(100,sqrt,all)σ² oob_error;RF(100,sqrt,sqrt)K;RF(100,sqrt,sqrt)sensitivity;RF(100,sqrt,sqrt)specificity;RF(100,sqrt,sqrt)precision;RF(100,sqrt,sqrt)accuracy;RF(100,sqrt,sqrt)oob_error;RF(100,sqrt,sqrt)σ² K;RF(100,sqrt,sqrt)σ² sensitivity;RF(100,sqrt,sqrt)σ² specificity;RF(100,sqrt,sqrt)σ² precision;RF(100,sqrt,sqrt)σ² accuracy;RF(100,sqrt,sqrt)σ² oob_error
1735640862149943821,1,2,20,(30, 75, 50);25.0;75.0;50.0;60.0;62.5;37.14;66.43;70.71;70.23;68.57;0.0;0.01696428571428572;0.008673469387755102;0.016198979591836735;0.007482789752587241;0.00424107142857143;0.0;30.71;70.0;60.71;64.09;65.36;0.0;0.008035714285714283;0.0016581632653061209;0.002551020408163269;0.0017689906347554598;0.0020089285714285712;0.0;36.43;72.14;64.29;67.0;68.21;0.0;0.006632653061224486;0.0040816326530612205;0.004464285714285716;0.0016371882086167783;0.0016581632653061215;0.0;27.14;73.57;53.57;61.58;63.57;0.0;0.008035714285714294;0.0016581632653061209;0.008290816326530615;0.002319610758332504;0.0020089285714285734;0.0;49.29;83.57;65.71;70.94;74.64;0.0;0.0015306122448979602;0.0003826530612244895;0.001020408163265308;0.00039774905541336555;0.00038265306122449005;0.0;45.71;82.86;62.86;69.06;72.86;0.0;0.0002551020408163247;0.00025510204081632634;0.0003826530612244919;8.630695836915239e-5;6.377551020408118e-5;0.0;47.14;84.29;62.86;69.61;73.57;0.0;0.0021683673469387772;0.001658163265306124;0.004846938775510208;0.000998764903591147;0.0005420918367346944;0.0;47.14;84.29;62.86;69.47;73.57;0.0;0.0015306122448979628;0.0003826530612244895;0.0016581632653061254;0.0004844736792788749;0.0003826530612244907;0.0;47.86;83.57;64.29;70.1;73.93;26.64;0.0016581632653061256;0.0003826530612244895;0.0012755102040816354;0.0004642252141700948;0.00041454081632653146;0.00029759573968204185;42.14;80.0;62.14;67.89;71.07;27.19;0.00025510204081632785;0.0010204081632653051;0.00038265306122449184;2.3463182634870577e-5;6.377551020408196e-5;5.099812528219889e-6;49.29;82.14;67.14;71.49;74.64;25.49;0.0008928571428571476;0.0012755102040816315;0.0015306122448979613;0.00034669091183491625;0.0002232142857142869;0.00026039627222178616;44.29;80.0;64.29;69.14;72.14;26.66;0.0035714285714285787;0.0029336734693877525;0.0012755102040816354;0.0005388858450287522;0.0008928571428571442;0.0005923844109335017
1735640862149943821,1,2,20,(30, 45, 30);10.71;57.14;53.57;55.17;55.36;20.71;61.43;59.29;59.83;60.36;0.0;0.008545918367346937;0.012372448979591841;0.0016581632653061237;0.001414213403655821;0.0021364795918367343;0.0;29.29;65.71;63.57;64.32;64.64;0.0;0.011096938775510202;0.005484693877551023;0.003443877551020412;0.002762341800360832;0.0027742346938775505;0.0;19.29;59.29;60.0;60.13;59.64;0.0;0.00229591836734694;0.006122448979591836;0.009183673469387758;0.0014075467249657079;0.0005739795918367351;0.0;31.43;70.0;61.43;64.44;65.71;0.0;0.007270408163265303;0.014413265306122445;0.004719387755102044;0.001200332995567533;0.0018176020408163253;0.0;43.57;75.71;67.86;70.22;71.79;0.0;0.0015306122448979604;0.00025510204081632634;0.0006377551020408157;0.00039946814660654406;0.00038265306122449005;0.0;41.43;77.14;64.29;68.37;70.71;0.0;0.0029336734693877547;0.002295918367346937;0.0012755102040816354;0.0005272948923755657;0.0007334183673469388;0.0;45.0;80.0;65.0;69.57;72.5;0.0;0.00548469387755102;0.002295918367346937;0.0015306122448979602;0.0009970566533962708;0.001371173469387755;0.0;41.43;74.29;67.14;69.33;70.71;0.0;0.0029336734693877547;0.0028061224489795895;0.0008928571428571422;0.00044058964257981804;0.0007334183673469387;0.0;40.0;72.86;67.14;68.92;70.0;28.26;0.0008928571428571429;0.0003826530612244895;0.00025510204081632634;0.00018536134231734704;0.0002232142857142857;0.0004541111043431783;37.86;72.86;65.0;67.59;68.93;28.41;0.0003826530612244871;0.0010204081632653051;0.0008928571428571446;0.00015854141894570072;9.566326530612178e-5;3.3283734043386424e-5;39.29;75.0;64.29;67.72;69.64;27.1;0.0012755102040816315;0.0012755102040816315;0.0;0.0001085295265348599;0.00031887755102040787;0.00014620722061242132;44.29;77.86;66.43;69.85;72.14;26.46;0.0029336734693877504;0.0015306122448979578;0.0003826530612244895;0.0004485706440050882;0.0007334183673469376;0.0003367530738507314
1735640862149943821,1,2,40,(30, 75, 50);25.0;64.29;60.71;62.07;62.5;30.71;68.57;62.14;64.39;65.36;0.0;0.003571428571428578;0.004081632653061225;0.0010204081632653084;0.0005715260062358282;0.0008928571428571442;0.0;34.29;72.14;62.14;65.99;67.14;0.0;0.01823979591836734;0.005357142857142852;0.012500000000000002;0.004880416623834916;0.004559948979591835;0.0;27.14;62.86;64.29;63.81;63.57;0.0;0.018239795918367347;0.013775510204081631;0.007015306122448984;0.004697503842650365;0.004559948979591837;0.0;30.0;65.0;65.0;64.9;65.0;0.0;0.035459183673469376;0.011734693877551022;0.007908163265306125;0.008932392666474229;0.008864795918367346;0.0;42.86;78.57;64.29;68.74;71.43;0.0;0.0019132653061224433;0.0031887755102040787;0.0006377551020408177;0.00017076434568317716;0.0004783163265306108;0.0;39.29;76.43;62.86;67.43;69.64;0.0;0.0012755102040816315;0.0010204081632653053;0.0029336734693877586;0.000638666097165591;0.00031887755102040787;0.0;42.14;79.29;62.86;68.21;71.07;0.0;0.0021683673469387703;0.0021683673469387738;0.002933673469387758;0.000775120043558446;0.0005420918367346927;0.0;42.86;78.57;64.29;68.75;71.43;0.0;0.007015306122448977;0.002551020408163263;0.0019132653061224513;0.0012729389061065207;0.0017538265306122442;0.0;41.43;77.86;63.57;68.15;70.71;27.46;0.0029336734693877547;0.002806122448979589;0.0015306122448979615;0.0004749630560839923;0.0007334183673469387;0.0005991830909929428;38.57;75.71;62.86;67.1;69.29;28.23;0.0002551020408163247;0.00025510204081632634;0.0003826530612244919;8.998963030408103e-5;6.377551020408118e-5;0.0001507557365494562;40.0;77.14;62.86;67.55;70.0;27.7;0.0021683673469387703;0.001658163265306121;0.0016581632653061252;0.000496194733435002;0.0005420918367346926;0.00010376693554702828;42.14;79.29;62.86;68.14;71.07;26.9;0.002806122448979591;0.000892857142857142;0.0016581632653061252;0.0006629214089994197;0.0007015306122448977;0.00012138773592293873
1735640862149943821,1,2,40,(30, 45, 30);32.14;75.0;57.14;63.64;66.07;32.86;65.0;67.86;67.36;66.43;0.0;0.013647959183673466;0.0028061224489795934;0.009566326530612245;0.005815483944935511;0.0034119897959183666;0.0;29.29;59.29;70.0;66.85;64.64;0.0;0.007270408163265302;0.0022959183673469425;0.007397959183673474;0.0035829044480066795;0.0018176020408163258;0.0;20.0;60.0;60.0;60.0;60.0;0.0;0.014413265306122457;0.00854591836734694;0.00663265306122449;0.003444174132629197;0.0036033163265306143;0.0;26.43;64.29;62.14;63.33;63.21;0.0;0.013137755102040814;0.023596938775510206;0.018239795918367344;0.004846700209169542;0.0032844387755102036;0.0;48.57;79.29;69.29;72.16;74.29;0.0;0.001658163265306125;0.00025510204081632634;0.001658163265306121;0.00070532004792812;0.00041454081632653125;0.0;42.86;75.0;67.86;70.02;71.43;0.0;0.0006377551020408157;0.0019132653061224472;0.0006377551020408157;8.002849859328676e-5;0.00015943877551020393;0.0;45.71;77.14;68.57;71.08;72.86;0.0;0.0015306122448979602;0.0016581632653061209;0.0008928571428571422;0.00033132061565447317;0.0003826530612244901;0.0;41.43;77.14;64.29;68.26;70.71;0.0;0.004846938775510205;0.004846938775510199;0.0;0.0003886257647212162;0.001211734693877551;0.0;45.0;77.86;67.14;70.33;72.5;28.05;0.000382653061224487;0.00025510204081632634;0.00025510204081632634;9.563605619146763e-5;9.566326530612178e-5;0.0001331349361735457;45.0;75.71;69.29;71.16;72.5;27.31;0.0003826530612244871;0.00025510204081632634;0.0003826530612244895;0.00014680382726574257;9.566326530612177e-5;0.0004993171939854342;44.29;76.43;67.86;70.52;72.14;28.41;0.00229591836734694;0.001658163265306121;0.002551020408163263;0.0009164730784536188;0.0005739795918367351;0.0004150677421881132;45.0;77.14;67.86;70.6;72.5;26.9;0.0010204081632653043;0.002295918367346937;0.0006377551020408157;9.619048204681334e-5;0.0002551020408163261;0.00017033440363380115
3245434972983169324,1,1,40,(30, 25, 15);32.14;67.86;64.29;65.52;66.07;20.0;61.43;58.57;59.53;60.0;0.0;0.010586734693877557;0.009821428571428573;0.002933673469387756;0.0020952638052806395;0.002646683673469389;0.0;22.14;62.14;60.0;60.81;61.07;0.0;0.011096938775510195;0.012500000000000002;0.006632653061224492;0.002391433654333112;0.0027742346938775487;0.0;22.86;55.71;67.14;62.65;61.43;0.0;0.016964285714285716;0.009311224489795919;0.0028061224489795925;0.005495471807944439;0.00424107142857143;0.0;25.0;63.57;61.43;62.33;62.5;0.0;0.009566326530612243;0.0028061224489795943;0.0040816326530612275;0.002463239904119827;0.002391581632653061;0.0;35.71;75.71;60.0;65.47;67.86;0.0;0.0051020408163265215;0.0015306122448979578;0.0021683673469387785;0.0010257563211571027;0.0012755102040816306;0.0;40.71;77.86;62.86;67.78;70.36;0.0;0.006122448979591832;0.0015306122448979578;0.0029336734693877586;0.0015228998462129936;0.0015306122448979578;0.0;30.0;70.0;60.0;63.66;65.0;0.0;0.0003826530612244871;0.0010204081632653051;0.0008928571428571445;0.00012522110631774442;9.566326530612178e-5;0.0;35.71;75.0;60.71;65.63;67.86;0.0;0.0012755102040816315;0.0012755102040816315;0.0006377551020408177;0.0002109831643461381;0.00031887755102040787;0.0;35.71;73.57;62.14;65.99;67.86;25.51;0.005739795918367349;0.002933673469387753;0.0010204081632653088;0.0009419708189082912;0.0014349489795918375;0.00044766319665006505;37.14;74.29;62.86;66.7;68.57;25.51;0.004209183673469386;0.0008928571428571422;0.0016581632653061254;0.0009646852237252854;0.0010522959183673465;0.00021382661905908275;29.29;70.71;58.57;63.01;64.64;24.89;0.002168367346938777;0.003443877551020405;0.0003826530612244895;0.00018039208324519527;0.0005420918367346942;7.467634287902059e-5;35.0;74.29;60.71;65.38;67.5;25.04;0.0034438775510204052;0.0021683673469387733;0.0006377551020408177;0.0005437993192854657;0.0008609693877551014;0.00037786827472785554
3245434972983169324,1,1,60,(30, 75, 50);35.71;57.14;78.57;72.73;67.86;12.86;60.71;52.14;55.65;56.43;0.0;0.020790816326530605;0.019132653061224494;0.007397959183673472;0.003707272750698074;0.005197704081632651;0.0;19.29;65.71;53.57;58.82;59.64;0.0;0.027168367346938768;0.006122448979591839;0.012117346938775503;0.005160311089402808;0.006792091836734692;0.0;18.57;60.0;58.57;59.76;59.29;0.0;0.013647959183673468;0.0015306122448979604;0.013775510204081633;0.004966420978043334;0.003411989795918367;0.0;27.86;69.29;58.57;62.83;63.93;0.0;0.006632653061224483;0.0029336734693877525;0.006760204081632654;0.0022201324624530282;0.0016581632653061209;0.0;43.57;77.86;65.71;69.51;71.79;0.0;0.0028061224489795878;0.0015306122448979578;0.0022959183673469425;0.0008207272665439886;0.0007015306122448968;0.0;37.86;74.29;63.57;67.19;68.93;0.0;0.0016581632653061224;0.0021683673469387733;0.002168367346938778;0.000560523726963369;0.0004145408163265306;0.0;40.0;73.57;66.43;68.57;70.0;0.0;0.004719387755102032;0.005484693877551024;0.00038265306122448945;0.0004664706466390411;0.0011798469387755083;0.0;33.57;72.14;61.43;65.33;66.79;0.0;0.0016581632653061191;0.0008928571428571422;0.00344387755102041;0.0009258011910387924;0.00041454081632652984;0.0;49.29;82.14;67.14;71.44;74.64;26.04;0.002806122448979591;0.0012755102040816315;0.0008928571428571422;0.0005261845855132158;0.0007015306122448977;9.280237921896069e-5;37.86;73.57;64.29;67.37;68.93;25.86;0.00038265306122448707;0.001658163265306121;0.0012755102040816354;0.00016152535923978553;9.566326530612177e-5;0.0001715430793520954;37.86;70.71;67.14;68.2;68.93;26.28;0.0067602040816326404;0.0040816326530612205;0.0008928571428571422;0.0011360075636872413;0.0016900510204081601;0.00014292426971571737;35.0;72.14;62.86;66.09;67.5;25.6;0.0008928571428571428;0.00025510204081632634;0.0016581632653061254;0.00043577722903894204;0.0002232142857142857;0.00021025663040020703
3245434972983169324,1,1,60,(30, 45, 30);17.86;60.71;57.14;58.62;58.93;17.14;62.14;55.0;58.1;58.57;0.0;0.016198979591836738;0.006122448979591839;0.006760204081632656;0.003507697440761049;0.0040497448979591845;0.0;23.57;59.29;64.29;62.65;61.79;0.0;0.002933673469387755;0.004846938775510206;0.005739795918367348;0.001537286366770681;0.0007334183673469387;0.0;12.86;57.14;55.71;55.92;56.43;0.0;0.014413265306122436;0.017857142857142856;0.00548469387755102;0.004064081731000231;0.003603316326530609;0.0;17.86;55.71;62.14;60.17;58.93;0.0;0.04400510204081635;0.0054846938775510185;0.018877551020408168;0.012737181232584736;0.011001275510204085;0.0;34.29;70.71;63.57;65.99;67.14;0.0;0.0029336734693877547;0.0021683673469387738;0.0008928571428571452;0.0005630273930631714;0.0007334183673469388;0.0;31.43;68.57;62.86;65.25;65.71;0.0;0.004719387755102043;0.0008928571428571422;0.008035714285714288;0.0021894075465894777;0.001179846938775511;0.0;33.57;67.86;65.71;66.29;66.79;0.0;0.0125;0.006377551020408163;0.001658163265306124;0.0023025771404467594;0.0031249999999999997;0.0;35.71;67.14;68.57;68.2;67.86;0.0;0.0012755102040816315;0.00025510204081632634;0.001530612244897958;0.0006219470186867575;0.00031887755102040787;0.0;34.29;70.71;63.57;65.99;67.14;23.54;0.003571428571428569;0.0021683673469387738;0.0008928571428571452;0.0006792867802712942;0.0008928571428571423;0.00010180906883859377;32.14;70.71;61.43;64.79;66.07;23.23;0.003188775510204079;0.0002551020408163263;0.002168367346938779;0.0009630910881767726;0.0007971938775510198;0.0002496329998833268;28.57;63.57;65.0;64.53;64.29;23.54;0.0025510204081632673;0.002168367346938778;0.0015306122448979602;0.0006893529650670619;0.0006377551020408167;0.00030738507322421497;33.57;68.57;65.0;66.24;66.79;24.42;0.0010204081632653062;0.0008928571428571422;0.0008928571428571445;0.0003050812763537605;0.0002551020408163265;0.00020949173780248942
1708661255722239460,1,2,20,(30, 75, 50);50.0;75.0;75.0;75.0;75.0;43.57;72.86;70.71;71.81;71.79;0.0;0.009821428571428578;0.022066326530612246;0.011096938775510204;0.001854398598933522;0.0024553571428571445;0.0;32.14;66.43;65.71;65.97;66.07;0.0;0.010204081632653057;0.0029336734693877556;0.0029336734693877556;0.0025802189188432567;0.002551020408163264;0.0;29.29;65.0;64.29;65.01;64.64;0.0;0.04170918367346937;0.017474489795918365;0.020408163265306124;0.01010100049961874;0.010427295918367342;0.0;30.0;71.43;58.57;63.45;65.0;0.0;0.008035714285714294;0.002551020408163263;0.005484693877551025;0.002017128469493938;0.0020089285714285734;0.0;49.29;82.86;66.43;71.18;74.64;0.0;0.009821428571428575;0.0034438775510204087;0.0029336734693877578;0.0017262210020939177;0.0024553571428571432;0.0;45.0;80.71;64.29;69.34;72.5;0.0;0.0035714285714285674;0.001658163265306121;0.0012755102040816354;0.0006825283285369914;0.0008928571428571419;0.0;43.57;81.43;62.14;68.26;71.79;0.0;0.0015306122448979604;0.0008928571428571422;0.0003826530612244919;0.0002237721068819691;0.00038265306122449005;0.0;42.86;81.43;61.43;67.96;71.43;0.0;0.0025510204081632586;0.0008928571428571421;0.0028061224489795943;0.0007671015793664932;0.0006377551020408148;0.0;47.86;82.14;65.71;70.59;73.93;29.29;0.0067602040816326595;0.0019132653061224513;0.0022959183673469425;0.0013515486600697106;0.0016900510204081649;0.00017033440363380115;47.14;81.43;65.71;70.39;73.57;27.88;0.0002551020408163279;0.00025510204081632634;0.00038265306122448945;9.949575722459635e-5;6.377551020408196e-5;0.00014684000313258718;44.29;81.43;62.86;68.65;72.14;28.41;0.0029336734693877504;0.0021683673469387738;0.0003826530612244918;0.0003504908151479688;0.0007334183673469376;0.00045422507635680304;43.57;82.14;61.43;68.17;71.79;28.41;0.0034438775510204044;0.0;0.0034438775510204117;0.0010687161275973523;0.0008609693877551011;7.244106821207635e-5
1708661255722239460,1,2,20,(30, 45, 30);32.14;67.86;64.29;65.52;66.07;36.43;62.86;73.57;70.36;68.21;0.0;0.006632653061224479;0.005484693877551024;0.0016581632653061206;0.001499333621146993;0.0016581632653061198;0.0;30.71;66.43;64.29;65.64;65.36;0.0;0.015688775510204075;0.00038265306122448945;0.012755102040816327;0.005965797117691303;0.003922193877551019;0.0;32.86;72.86;60.0;64.42;66.43;0.0;0.008545918367346944;0.008035714285714278;0.0008928571428571446;0.0010649638322662162;0.0021364795918367365;0.0;32.86;67.14;65.71;65.8;66.43;0.0;0.02831632653061225;0.015561224489795918;0.0029336734693877578;0.005425386548619182;0.007079081632653062;0.0;56.43;86.43;70.0;74.39;78.21;0.0;0.001530612244897958;0.0008928571428571452;0.0029336734693877525;0.0010094859902602697;0.0003826530612244895;0.0;57.86;87.86;70.0;74.56;78.93;0.0;0.002806122448979591;0.0016581632653061254;0.0010204081632653053;0.0005289898437415596;0.0007015306122448977;0.0;62.14;90.71;71.43;76.04;81.07;0.0;0.0029336734693877504;0.0016581632653061237;0.0006377551020408157;0.00039218526496646205;0.0007334183673469375;0.0;62.14;90.71;71.43;76.07;81.07;0.0;0.0035714285714285674;0.002933673469387757;0.0012755102040816315;0.0005330524366609372;0.0008928571428571419;0.0;56.43;85.71;70.71;74.58;78.21;28.7;0.0002551020408163247;0.0012755102040816354;0.0008928571428571421;0.00017218303534100585;6.377551020408118e-5;0.0003963814755837113;59.29;87.86;71.43;75.5;79.64;29.2;0.0022959183673469333;0.00038265306122449184;0.0012755102040816315;0.0006400618896379642;0.0005739795918367333;1.9578667084344958e-5;59.29;90.0;69.29;74.59;79.64;28.85;0.0016581632653061193;0.0002551020408163263;0.0010204081632653053;0.0004345637136721474;0.00041454081632652984;0.0007674837497063205;61.43;90.0;71.43;75.96;80.71;28.67;0.0015306122448979602;0.0008928571428571446;0.0012755102040816315;0.0004719625465843864;0.00038265306122449005;0.0001507557365494562
1708661255722239460,1,2,40,(30, 75, 50);42.86;82.14;60.71;67.65;71.43;27.86;66.43;61.43;63.38;63.93;0.0;0.00471938775510204;0.0073979591836734705;0.004719387755102043;0.0010224353524016813;0.00117984693877551;0.0;28.57;65.71;62.86;64.48;64.29;0.0;0.022321428571428572;0.015051020408163267;0.016964285714285713;0.006229144954658519;0.005580357142857142;0.0;32.14;70.71;61.43;64.64;66.07;0.0;0.01658163265306123;0.0072704081632653066;0.004081632653061227;0.003354675711591219;0.004145408163265307;0.0;37.14;69.29;67.86;68.67;68.57;0.0;0.012499999999999994;0.009311224489795917;0.01084183673469388;0.003524849348453979;0.0031249999999999976;0.0;45.0;81.43;63.57;69.13;72.5;0.0;0.0029336734693877595;0.000892857142857142;0.0015306122448979626;0.00066959749867614;0.00073341836734694;0.0;47.86;84.29;63.57;69.86;73.93;0.0;0.005484693877551024;0.001020408163265308;0.0021683673469387785;0.0010949106267040937;0.001371173469387756;0.0;47.14;81.43;65.71;70.45;73.57;0.0;0.0008928571428571428;0.0008928571428571422;0.0016581632653061237;0.00043325532692415714;0.0002232142857142857;0.0;42.86;82.14;60.71;67.68;71.43;0.0;0.0012755102040816315;0.001913265306122451;0.0012755102040816354;0.00025291452098007096;0.00031887755102040787;0.0;45.0;79.29;65.71;69.85;72.5;29.47;0.0016581632653061226;0.00025510204081632634;0.001020408163265308;0.0004485706440050882;0.0004145408163265307;7.439893492051084e-5;46.43;83.57;62.86;69.28;73.21;27.79;0.0019132653061224513;0.0016581632653061243;0.0016581632653061254;0.0004484337481298644;0.00047831632653061283;0.00022907040488683603;47.14;81.43;65.71;70.43;73.57;28.41;0.002168367346938778;0.0008928571428571422;0.0016581632653061237;0.0006310599556829698;0.0005420918367346946;0.0001507557365494562;48.57;83.57;65.0;70.49;74.29;29.03;0.002933673469387758;0.0010204081632653053;0.0008928571428571445;0.00052825806428551;0.0007334183673469395;0.00036807894118568525
1708661255722239460,1,2,40,(30, 45, 30);35.71;78.57;57.14;64.71;67.86;40.0;70.0;70.0;69.89;70.0;0.0;0.031505102040816316;0.011862244897959182;0.006760204081632654;0.0074291055681531834;0.007876275510204079;0.0;34.29;67.14;67.14;67.54;67.14;0.0;0.012499999999999987;0.0008928571428571422;0.008545918367346939;0.004549745684906908;0.0031249999999999967;0.0;42.14;73.57;68.57;69.86;71.07;0.0;0.011096938775510204;0.023341836734693873;0.0028061224489795934;0.00039794354883316364;0.002774234693877551;0.0;26.43;63.57;62.86;63.03;63.21;0.0;0.006760204081632651;0.005994897959183676;0.0016581632653061252;0.0012514795268430102;0.0016900510204081627;0.0;57.86;90.0;67.86;73.74;78.93;0.0;0.0008928571428571428;0.0002551020408163263;0.0012755102040816315;0.0003957979597968211;0.0002232142857142857;0.0;61.43;90.0;71.43;75.92;80.71;0.0;0.0015306122448979604;0.0002551020408163263;0.0006377551020408157;0.00035046914568776676;0.0003826530612244901;0.0;62.86;91.43;71.43;76.26;81.43;0.0;0.0029336734693877504;0.0016581632653061243;0.0019132653061224472;0.0008346514821556369;0.0007334183673469376;0.0;62.14;90.71;71.43;76.0;81.07;0.0;0.00548469387755102;0.005484693877551022;0.0006377551020408157;0.00043120443769794465;0.001371173469387755;0.0;59.29;88.57;70.71;75.23;79.64;29.65;0.0035714285714285687;0.00025510204081632785;0.0021683673469387733;0.0010369560832252996;0.0008928571428571423;6.852533479520734e-5;61.43;91.43;70.0;75.3;80.71;28.61;0.0008928571428571412;0.00038265306122448945;0.0003826530612244895;0.0001778412223745425;0.0002232142857142853;0.0008561917220428723;62.14;92.86;69.29;75.15;81.07;27.08;0.0010204081632653045;0.0006377551020408157;0.0003826530612244895;0.0001720923663583068;0.0002551020408163261;0.00022907040488683603;60.71;90.0;70.71;75.45;80.36;27.88;0.0006377551020408157;0.0002551020408163263;0.0002551020408163263;0.00012534911874326703;0.00015943877551020393;0.00014684000313258718
1107158645723204584,1,1,40,(30, 25, 15);10.71;57.14;53.57;55.17;55.36;6.43;51.43;55.0;53.33;53.21;0.0;0.0066326530612244895;0.006760204081632652;0.005484693877551021;0.001986471086946686;0.0016581632653061224;0.0;14.29;54.29;60.0;56.92;57.14;0.0;0.01275510204081633;0.02959183673469388;0.011734693877551022;0.003430622433884797;0.0031887755102040826;0.0;11.43;49.29;62.14;56.55;55.71;0.0;0.013010204081632648;0.0059948979591836725;0.0048469387755102076;0.004446527354483066;0.003252551020408162;0.0;9.29;54.29;55.0;54.99;54.64;0.0;0.020790816326530605;0.005994897959183671;0.0125;0.006398729049911782;0.00519770408163265;0.0;25.71;61.43;64.29;63.22;62.86;0.0;0.00216836734693878;0.0015306122448979615;0.0006377551020408177;0.00047837649290122925;0.000542091836734695;0.0;30.71;65.71;65.0;65.2;65.36;0.0;0.0029336734693877504;0.0016581632653061237;0.00025510204081632634;0.0005238968700519262;0.0007334183673469376;0.0;27.86;62.14;65.71;64.49;63.93;0.0;0.004081632653061227;0.0010204081632653088;0.0016581632653061241;0.0012679835125907575;0.0010204081632653066;0.0;27.86;63.57;64.29;63.99;63.93;0.0;0.0021683673469387772;0.0028061224489795943;0.0006377551020408177;0.0003648392392226495;0.0005420918367346944;0.0;26.43;62.14;64.29;63.49;63.21;25.31;0.0003826530612244919;0.0003826530612244919;0.0;5.2490131855211436e-5;9.566326530612296e-5;0.00013117706946511019;28.57;63.57;65.0;64.39;64.29;27.52;0.004464285714285722;0.0040816326530612275;0.00025510204081632634;0.0006974884318705758;0.0011160714285714307;0.0003269637403085608;27.14;62.86;64.29;63.72;63.57;25.4;0.0016581632653061259;0.0016581632653061254;0.0;0.00023005843480674025;0.00041454081632653146;0.00017229227034223457;26.43;61.43;65.0;63.68;63.21;24.96;0.0016581632653061248;0.0008928571428571452;0.00025510204081632634;0.0003725370636237538;0.0004145408163265313;0.0001429242697157169
