;T(entropy,1,0.01,0.4)K;T(entropy,1,0.01,0.4)sensitivity;T(entropy,1,0.01,0.4)specificity;T(entropy,1,0.01,0.4)precision;T(entropy,1,0.01,0.4)accuracy;RF(1,all,all)K;RF(1,all,all)sensitivity;RF(1,all,all)specificity;RF(1,all,all)precision;RF(1,all,all)accuracy;RF(1,all,all)oob_error;RF(1,all,all)σ² K;RF(1,all,all)σ² sensitivity;RF(1,all,all)σ² specificity;RF(1,all,all)σ² precision;RF(1,all,all)σ² accuracy;RF(1,all,all)σ² oob_error;RF(1,all,sqrt)K;RF(1,all,sqrt)sensitivity;RF(1,all,sqrt)specificity;RF(1,all,sqrt)precision;RF(1,all,sqrt)accuracy;RF(1,all,sqrt)oob_error;RF(1,all,sqrt)σ² K;RF(1,all,sqrt)σ² sensitivity;RF(1,all,sqrt)σ² specificity;RF(1,all,sqrt)σ² precision;RF(1,all,sqrt)σ² accuracy;RF(1,all,sqrt)σ² oob_error;RF(1,sqrt,all)K;RF(1,sqrt,all)sensitivity;RF(1,sqrt,all)specificity;RF(1,sqrt,all)precision;RF(1,sqrt,all)accuracy;RF(1,sqrt,all)oob_error;RF(1,sqrt,all)σ² K;RF(1,sqrt,all)σ² sensitivity;RF(1,sqrt,all)σ² specificity;RF(1,sqrt,all)σ² precision;RF(1,sqrt,all)σ² accuracy;RF(1,sqrt,all)σ² oob_error;RF(1,sqrt,sqrt)K;RF(1,sqrt,sqrt)sensitivity;RF(1,sqrt,sqrt)specificity;RF(1,sqrt,sqrt)precision;RF(1,sqrt,sqrt)accuracy;RF(1,sqrt,sqrt)oob_error;RF(1,sqrt,sqrt)σ² K;RF(1,sqrt,sqrt)σ² sensitivity;RF(1,sqrt,sqrt)σ² specificity;RF(1,sqrt,sqrt)σ² precision;RF(1,sqrt,sqrt)σ² accuracy;RF(1,sqrt,sqrt)σ² oob_error;RF(50,all,all)K;RF(50,all,all)sensitivity;RF(50,all,all)specificity;RF(50,all,all)precision;RF(50,all,all)accuracy;RF(50,all,all)oob_error;RF(50,all,all)σ² K;RF(50,all,all)σ² sensitivity;RF(50,all,all)σ² specificity;RF(50,all,all)σ² precision;RF(50,all,all)σ² accuracy;RF(50,all,all)σ² oob_error;RF(50,all,sqrt)K;RF(50,all,sqrt)sensitivity;RF(50,all,sqrt)specificity;RF(50,all,sqrt)precision;RF(50,all,sqrt)accuracy;RF(50,all,sqrt)oob_error;RF(50,all,sqrt)σ² K;RF(50,all,sqrt)σ² sensitivity;RF(50,all,sqrt)σ² specificity;RF(50,all,sqrt)σ² precision;RF(50,all,sqrt)σ² accuracy;RF(50,all,sqrt)σ² oob_error;RF(50,sqrt,all)K;RF(50,sqrt,all)sensitivity;RF(50,sqrt,all)specificity;RF(50,sqrt,all)precision;RF(50,sqrt,all)accuracy;RF(50,sqrt,all)oob_error;RF(50,sqrt,all)σ² K;RF(50,sqrt,all)σ² sensitivity;RF(50,sqrt,all)σ² specificity;RF(50,sqrt,all)σ² precision;RF(50,sqrt,all)σ² accuracy;RF(50,sqrt,all)σ² oob_error;RF(50,sqrt,sqrt)K;RF(50,sqrt,sqrt)sensitivity;RF(50,sqrt,sqrt)specificity;RF(50,sqrt,sqrt)precision;RF(50,sqrt,sqrt)accuracy;RF(50,sqrt,sqrt)oob_error;RF(50,sqrt,sqrt)σ² K;RF(50,sqrt,sqrt)σ² sensitivity;RF(50,sqrt,sqrt)σ² specificity;RF(50,sqrt,sqrt)σ² precision;RF(50,sqrt,sqrt)σ² accuracy;RF(50,sqrt,sqrt)σ² oob_error;RF(100,all,all)K;RF(100,all,all)sensitivity;RF(100,all,all)specificity;RF(100,all,all)precision;RF(100,all,all)accuracy;RF(100,all,all)oob_error;RF(100,all,all)σ² K;RF(100,all,all)σ² sensitivity;RF(100,all,all)σ² specificity;RF(100,all,all)σ² precision;RF(100,all,all)σ² accuracy;RF(100,all,all)σ² oob_error;RF(100,all,sqrt)K;RF(100,all,sqrt)sensitivity;RF(100,all,sqrt)specificity;RF(100,all,sqrt)precision;RF(100,all,sqrt)accuracy;RF(100,all,sqrt)oob_error;RF(100,all,sqrt)σ² K;RF(100,all,sqrt)σ² sensitivity;RF(100,all,sqrt)σ² specificity;RF(100,all,sqrt)σ² precision;RF(100,all,sqrt)σ² accuracy;RF(100,all,sqrt)σ² oob_error;RF(100,sqrt,all)K;RF(100,sqrt,all)sensitivity;RF(100,sqrt,all)specificity;RF(100,sqrt,all)precision;RF(100,sqrt,all)accuracy;RF(100,sqrt,all)oob_error;RF(100,sqrt,all)σ² K;RF(100,sqrt,all)σ² sensitivity;RF(100,sqrt,all)σ² specificity;RF(100,sqrt,all)σ² precision;RF(100,sqrt,all)σ² accuracy;RF(100,sqrt,all)σ² oob_error;RF(100,sqrt,sqrt)K;RF(100,sqrt,sqrt)sensitivity;RF(100,sqrt,sqrt)specificity;RF(100,sqrt,sqrt)precision;RF(100,sqrt,sqrt)accuracy;RF(100,sqrt,sqrt)oob_error;RF(100,sqrt,sqrt)σ² K;RF(100,sqrt,sqrt)σ² sensitivity;RF(100,sqrt,sqrt)σ² specificity;RF(100,sqrt,sqrt)σ² precision;RF(100,sqrt,sqrt)σ² accuracy;RF(100,sqrt,sqrt)σ² oob_error
1107158645723204584,1,1,60,(30, 75, 50);10.71;53.57;57.14;55.56;55.36;22.14;56.43;65.71;62.23;61.07;0.0;0.019387755102040816;0.009821428571428571;0.007397959183673473;0.005091378725929359;0.004846938775510203;0.0;12.14;60.71;51.43;55.71;56.07;0.0;0.023979591836734697;0.007653061224489797;0.01122448979591837;0.006099255245320853;0.005994897959183674;0.0;9.29;60.0;49.29;54.29;54.64;0.0;0.01696428571428572;0.004719387755102043;0.007270408163265305;0.0037291144382902135;0.00424107142857143;0.0;21.43;62.14;59.29;61.15;60.71;0.0;0.0031887755102040865;0.009948979591836736;0.01823979591836735;0.002435344617642319;0.0007971938775510216;0.0;17.14;55.71;61.43;59.0;58.57;0.0;0.005357142857142859;0.005484693877551022;0.0015306122448979617;0.0010801100505392306;0.0013392857142857147;0.0;19.29;58.57;60.71;59.77;59.64;0.0;0.004846938775510205;0.0035714285714285735;0.0006377551020408177;0.000969869297708125;0.0012117346938775512;0.0;25.71;61.43;64.29;63.19;62.86;0.0;0.009183673469387749;0.0034438775510204117;0.001913265306122451;0.0022650697518833756;0.0022959183673469372;0.0;19.29;57.86;61.43;60.04;59.64;0.0;0.008673469387755116;0.0021683673469387772;0.0028061224489795943;0.002363865652428943;0.0021683673469387785;0.0;19.29;57.86;61.43;59.99;59.64;28.43;0.0029336734693877504;0.0015306122448979615;0.0008928571428571452;0.0007328955135629462;0.0007334183673469376;0.0001798836495408929;17.86;57.14;60.71;59.03;58.93;28.5;0.012117346938775513;0.007653061224489798;0.0012755102040816354;0.0027143663391282435;0.0030293367346938774;0.0001918709374265806;25.71;61.43;64.29;63.33;62.86;27.79;0.0008928571428571476;0.0008928571428571452;0.0019132653061224513;0.0004201823633488272;0.0002232142857142869;0.00012138773592293874;18.57;57.14;61.43;59.7;59.29;27.72;0.0028061224489795878;0.0012755102040816315;0.0008928571428571452;0.0007284090590968893;0.000701530612244897;0.00020587541779908792
1107158645723204584,1,1,60,(30, 45, 30);-3.57;50.0;46.43;48.28;48.21;14.29;53.57;60.71;58.07;57.14;0.0;0.0031887755102040787;0.003188775510204079;0.0070153061224489804;0.00186769061908548;0.0007971938775510197;0.0;17.14;58.57;58.57;58.63;58.57;0.0;0.007908163265306117;0.01122448979591837;0.008673469387755109;0.001816504374832406;0.0019770408163265296;0.0;21.43;55.71;65.71;62.27;60.71;0.0;0.009566326530612249;0.005484693877551022;0.008035714285714288;0.004311235860040936;0.002391581632653062;0.0;15.0;57.14;57.86;57.59;57.5;0.0;0.01237244897959183;0.004464285714285715;0.004719387755102042;0.003384801097393688;0.0030931122448979577;0.0;15.71;54.29;61.43;58.45;57.86;0.0;0.00038265306122449184;0.0008928571428571421;0.00025510204081632785;6.178927119098068e-5;9.566326530612296e-5;0.0;19.29;54.29;65.0;60.64;59.64;0.0;0.004846938775510205;0.004719387755102042;0.00025510204081632634;0.000995969084083712;0.0012117346938775512;0.0;26.43;60.0;66.43;64.12;63.21;0.0;0.001658163265306125;0.0028061224489795934;0.0010204081632653051;0.0003189698320092854;0.00041454081632653125;0.0;19.29;56.43;62.86;60.34;59.64;0.0;0.004846938775510205;0.0008928571428571422;0.0016581632653061254;0.0014555482504200461;0.0012117346938775512;0.0;16.43;55.0;61.43;58.76;58.21;27.43;0.001020408163265306;0.0010204081632653051;0.0002551020408163279;0.0002194179446926702;0.0002551020408163265;0.0002741013391808294;20.0;57.14;62.86;60.58;60.0;25.84;0.0022959183673469394;0.0012755102040816315;0.00038265306122449184;0.0005444111654937881;0.000573979591836735;0.0001527136032578901;24.29;59.29;65.0;62.78;62.14;27.7;0.004719387755102046;0.0029336734693877573;0.00025510204081632634;0.000915552219378024;0.0011798469387755113;0.0001918709374265806;17.14;52.86;64.29;59.7;58.57;26.73;0.004081632653061219;0.0008928571428571422;0.0012755102040816354;0.001344999999999998;0.0010204081632653045;0.00020166027096875198
1107158645723204584,1,2,20,(30, 75, 50);32.14;60.71;71.43;68.0;66.07;11.43;56.43;55.0;55.86;55.71;0.0;0.007270408163265302;0.01428571428571429;0.013775510204081635;0.002441595484066527;0.001817602040816326;0.0;26.43;58.57;67.86;65.05;63.21;0.0;0.013775510204081623;0.0029336734693877556;0.01084183673469388;0.004978464068422741;0.003443877551020405;0.0;10.71;47.86;62.86;55.7;55.36;0.0;0.021045918367346927;0.014413265306122448;0.0042091836734693905;0.007435757469439689;0.005261479591836732;0.0;15.0;57.14;57.86;58.11;57.5;0.0;0.007270408163265305;0.00573979591836735;0.013647959183673473;0.002486212573825923;0.0018176020408163262;0.0;22.14;61.43;60.71;61.0;61.07;0.0;0.004081632653061221;0.0015306122448979617;0.0012755102040816354;0.0009652758408648675;0.0010204081632653053;0.0;20.71;60.71;60.0;60.31;60.36;0.0;0.0008928571428571412;0.0006377551020408177;0.0008928571428571446;0.0002618507245717145;0.0002232142857142853;0.0;20.0;58.57;61.43;60.28;60.0;0.0;0.0035714285714285674;0.0016581632653061241;0.0008928571428571452;0.0008836164128839044;0.0008928571428571419;0.0;20.71;59.29;61.43;60.58;60.36;0.0;0.0008928571428571412;0.0003826530612244895;0.00025510204081632785;0.00023008174463200976;0.00022321428571428533;0.0;22.14;60.0;62.14;61.3;61.07;25.77;0.0015306122448979626;0.0008928571428571446;0.00038265306122449184;0.0003455517522469103;0.0003826530612244907;0.00012375361238493285;20.0;59.29;60.71;60.17;60.0;25.4;0.00038265306122448707;0.0003826530612244895;0.0006377551020408177;0.00014237475698566075;9.566326530612177e-5;0.0004855509436917531;22.86;61.43;61.43;61.43;61.43;26.02;0.0029336734693877612;0.0008928571428571452;0.0008928571428571452;0.0007451268602644219;0.0007334183673469403;0.00015075573654945552;21.43;60.71;60.71;60.65;60.71;26.48;0.0019132653061224513;0.001913265306122451;0.0;0.0003195779961894357;0.0004783163265306128;8.151930456574569e-5
1107158645723204584,1,2,20,(30, 45, 30);32.14;64.29;67.86;66.67;66.07;21.43;60.71;60.71;61.06;60.71;0.0;0.0006377551020408157;0.008290816326530613;0.009566326530612247;0.000719642741436679;0.00015943877551020393;0.0;22.86;60.71;62.14;61.72;61.43;0.0;0.0016581632653061259;0.008290816326530616;0.005484693877551024;0.00040731930272108855;0.00041454081632653146;0.0;27.14;60.71;66.43;64.44;63.57;0.0;0.018239795918367347;0.007015306122448983;0.006122448979591839;0.004712301412801046;0.004559948979591836;0.0;14.29;59.29;55.0;57.55;57.14;0.0;0.007015306122448977;0.008673469387755104;0.018239795918367347;0.002895626280655439;0.0017538265306122442;0.0;22.86;58.57;64.29;62.11;61.43;0.0;0.00038265306122449184;0.00038265306122448945;0.0;6.0876129252197505e-5;9.566326530612296e-5;0.0;30.0;62.14;67.86;65.88;65.0;0.0;0.0010204081632653043;0.0010204081632653088;0.0;0.00014090729783037417;0.0002551020408163261;0.0;24.29;59.29;65.0;62.89;62.14;0.0;0.00216836734693878;0.001020408163265308;0.0008928571428571445;0.0006103023415029936;0.000542091836734695;0.0;27.14;60.0;67.14;64.51;63.57;0.0;0.003571428571428569;0.0034438775510204096;0.0002551020408163263;0.0006428365812033308;0.0008928571428571423;0.0;25.71;58.57;67.14;64.07;62.86;26.55;0.0002551020408163279;0.00038265306122448945;0.00025510204081632634;7.421108594897762e-5;6.377551020408196e-5;2.9368000626517434e-5;27.86;60.71;67.14;64.88;63.93;27.43;0.0008928571428571429;0.0006377551020408177;0.0002551020408163263;0.0002037720473048103;0.0002232142857142857;3.9157334168689917e-5;30.0;62.14;67.86;65.8;65.0;25.93;0.0035714285714285674;0.003571428571428575;0.0;0.0004356024613008061;0.0008928571428571419;0.00013313493617354483;28.57;60.71;67.86;65.33;64.29;26.9;0.004464285714285723;0.002551020408163269;0.0006377551020408157;0.0009878975969085852;0.0011160714285714305;2.3494400501213952e-5
1107158645723204584,1,2,40,(30, 75, 50);32.14;67.86;64.29;65.52;66.07;25.0;57.14;67.86;64.25;62.5;0.0;0.0197704081632653;0.021045918367346945;0.012755102040816327;0.004396476201898869;0.004942602040816325;0.0;19.29;57.14;62.14;60.64;59.64;0.0;0.011862244897959184;0.0019132653061224513;0.009311224489795919;0.005314475351533024;0.0029655612244897963;0.0;16.43;59.29;57.14;57.96;58.21;0.0;0.01058673469387755;0.004209183673469391;0.0019132653061224472;0.002277280912805513;0.0026466836734693874;0.0;13.57;55.71;57.86;56.51;56.79;0.0;0.009183673469387749;0.0125;0.0008928571428571421;0.0019953855751425717;0.0022959183673469372;0.0;22.86;60.0;62.86;61.78;61.43;0.0;0.00038265306122449184;0.0002551020408163263;0.0003826530612244919;0.0001282156883499992;9.566326530612297e-5;0.0;22.86;60.0;62.86;61.81;61.43;0.0;0.0016581632653061259;0.00025510204081632634;0.0010204081632653086;0.0005753653520238799;0.00041454081632653146;0.0;18.57;57.86;60.71;59.57;59.29;0.0;0.0008928571428571412;0.0008928571428571421;0.0006377551020408177;0.0002426896001008073;0.0002232142857142853;0.0;22.14;60.0;62.14;61.33;61.07;0.0;0.0002551020408163279;0.0002551020408163263;0.0003826530612244919;9.618324891015229e-5;6.377551020408196e-5;0.0;22.86;60.71;62.14;61.61;61.43;22.92;0.00038265306122449184;0.0;0.0003826530612244919;0.00015169648106156135;9.566326530612297e-5;0.00020949173780249105;22.86;60.0;62.86;61.8;61.43;23.1;0.001020408163265306;0.0008928571428571446;0.0010204081632653086;0.0003474739583203314;0.0002551020408163265;0.00020949173780249105;18.57;57.86;60.71;59.6;59.29;24.42;0.0008928571428571412;0.0008928571428571421;0.0012755102040816354;0.0003038953115458068;0.00022321428571428533;0.000287806406139869;20.0;58.57;61.43;60.28;60.0;23.45;0.00038265306122448707;0.0010204081632653053;0.0002551020408163279;4.215307522185818e-5;9.566326530612177e-5;6.852533479520736e-5
1107158645723204584,1,2,40,(30, 45, 30);17.86;50.0;67.86;60.87;58.93;18.57;59.29;59.29;59.52;59.29;0.0;0.02385204081632653;0.004846938775510208;0.00994897959183674;0.005986394557823128;0.005963010204081632;0.0;12.14;57.86;54.29;56.23;56.07;0.0;0.0316326530612245;0.007270408163265308;0.014923469387755102;0.007526637697371951;0.007908163265306125;0.0;29.29;65.71;63.57;64.66;64.64;0.0;0.060841836734693865;0.018239795918367344;0.02257653061224489;0.01525052072968126;0.015210459183673463;0.0;11.43;52.14;59.29;56.34;55.71;0.0;0.010459183673469385;0.002295918367346937;0.005484693877551024;0.003120880611760681;0.002614795918367346;0.0;23.57;58.57;65.0;62.62;61.79;0.0;0.0016581632653061248;0.0010204081632653084;0.0008928571428571446;0.0004761913243150534;0.00041454081632653125;0.0;22.14;57.14;65.0;61.91;61.07;0.0;0.004081632653061233;0.0031887755102040826;0.0002551020408163263;0.0008573910826658081;0.0010204081632653082;0.0;27.14;61.43;65.71;64.15;63.57;0.0;0.0016581632653061259;0.002168367346938779;0.00038265306122448945;0.00025636401883256043;0.00041454081632653146;0.0;30.0;62.86;67.14;65.71;65.0;0.0;0.0010204081632653043;0.0010204081632653088;0.0008928571428571421;0.00034621215192546986;0.0002551020408163261;0.0;21.43;56.43;65.0;61.73;60.71;26.02;0.0;0.00025510204081632634;0.0002551020408163263;1.8491124260354898e-5;0.0;5.286240112773069e-5;20.71;55.0;65.71;61.65;60.36;25.66;0.0008928571428571412;0.0003826530612244895;0.001020408163265308;0.0003851406035665302;0.0002232142857142853;0.0002545226720964832;24.29;57.86;66.43;63.28;62.14;24.34;0.0008928571428571476;0.0008928571428571421;0.0003826530612244895;0.0002172408909018594;0.0002232142857142869;0.00016641867021693118;26.43;60.0;66.43;64.17;63.21;25.24;0.0016581632653061248;0.002168367346938778;0.0016581632653061246;0.0005587902695595008;0.00041454081632653125;0.0001227094168071006
259120567676784894,1,1,40,(30, 25, 15);39.29;75.0;64.29;67.74;69.64;12.14;55.71;56.43;55.97;56.07;0.0;0.0054846938775510124;0.015688775510204082;0.007270408163265308;0.0010529134929761527;0.0013711734693877531;0.0;23.57;60.0;63.57;62.23;61.79;0.0;0.005484693877551022;0.0015306122448979602;0.0015306122448979617;0.0014950059211353475;0.0013711734693877555;0.0;14.29;50.71;63.57;58.18;57.14;0.0;0.021683673469387748;0.014285714285714278;0.009183673469387756;0.009203710256488406;0.005420918367346937;0.0;21.43;52.86;68.57;63.33;60.71;0.0;0.028061224489795897;0.004719387755102043;0.013647959183673463;0.011415222966437703;0.007015306122448975;0.0;34.29;65.71;68.57;67.64;67.14;0.0;0.005484693877551011;0.002933673469387758;0.001530612244897958;0.0013366368779474183;0.0013711734693877525;0.0;37.14;68.57;68.57;68.67;68.57;0.0;0.0029336734693877578;0.0008928571428571421;0.0021683673469387733;0.0011249313943646963;0.0007334183673469394;0.0;39.29;68.57;70.71;70.1;69.64;0.0;0.007015306122448969;0.002168367346938778;0.0021683673469387738;0.001914701709628673;0.0017538265306122423;0.0;38.57;66.43;72.14;70.42;69.29;0.0;0.0047193877551020315;0.0029336734693877556;0.0008928571428571422;0.0010075052944859943;0.0011798469387755079;0.0;39.29;68.57;70.71;70.08;69.64;30.27;0.007015306122448977;0.004719387755102041;0.0021683673469387733;0.0014893451440166107;0.0017538265306122442;0.00013313493617354572;33.57;65.71;67.86;67.11;66.79;30.8;0.0016581632653061193;0.0016581632653061237;0.0;0.00018427975007661736;0.00041454081632652984;7.439893492051084e-5;40.71;66.43;74.29;71.99;70.36;28.58;0.004846938775510196;0.0042091836734693905;0.00025510204081632634;0.0005923120550969548;0.001211734693877549;0.00012334560263137326;42.14;70.0;72.14;71.45;71.07;29.56;0.0066326530612244895;0.004846938775510206;0.000892857142857142;0.0010901846261186898;0.0016581632653061224;0.00016054507009162866
259120567676784894,1,1,60,(30, 75, 50);35.71;60.71;75.0;70.83;67.86;16.43;54.29;62.14;58.43;58.21;0.0;0.014413265306122443;0.01811224489795918;0.0048469387755102076;0.003154158482519067;0.0036033163265306108;0.0;15.0;54.29;60.71;58.03;57.5;0.0;0.007908163265306132;0.02640306122448979;0.01211734693877551;0.0016159943942168644;0.001977040816326533;0.0;10.71;47.14;63.57;56.59;55.36;0.0;0.04272959183673469;0.01237244897959183;0.014285714285714285;0.01597388314996781;0.010682397959183673;0.0;26.43;62.14;64.29;64.09;63.21;0.0;0.014413265306122445;0.0029336734693877578;0.012755102040816327;0.005564573661125245;0.003603316326530611;0.0;42.14;68.57;73.57;72.21;71.07;0.0;0.0021683673469387785;0.004719387755102041;0.0010204081632653053;0.00020502995674998267;0.0005420918367346945;0.0;40.0;70.71;69.29;69.99;70.0;0.0;0.005994897959183669;0.0021683673469387733;0.00548469387755102;0.0025590625000000014;0.0014987244897959173;0.0;34.29;60.0;74.29;69.97;67.14;0.0;0.002933673469387755;0.004719387755102044;0.0008928571428571421;0.0004991643451563172;0.0007334183673469387;0.0;35.71;62.86;72.86;70.14;67.86;0.0;0.0159438775510204;0.010586734693877553;0.008673469387755093;0.0056983780252636606;0.0039859693877551;0.0;38.57;67.86;70.71;69.83;69.29;32.86;0.0034438775510204044;0.0031887755102040826;0.0008928571428571421;0.000641029470838179;0.0008609693877551011;0.0002941966123588282;42.14;71.43;70.71;71.1;71.07;32.04;0.005994897959183682;0.005102040816326533;0.004719387755102042;0.0019743823507926074;0.0014987244897959203;0.0005149189443182699;30.71;57.86;72.86;67.9;65.36;31.33;0.005484693877551024;0.005994897959183673;0.00038265306122448945;0.0008604217823578105;0.0013711734693877557;0.0002975957396820418;37.14;62.86;74.29;71.02;68.57;32.57;0.0029336734693877504;0.005484693877551023;0.0015306122448979578;0.0005023491533038108;0.0007334183673469376;0.0005149189443182698
259120567676784894,1,1,60,(30, 45, 30);42.86;75.0;67.86;70.0;71.43;25.71;64.29;61.43;62.56;62.86;0.0;0.00854591836734694;0.0031887755102040847;0.0034438775510204104;0.0023499673916238368;0.0021364795918367356;0.0;17.14;60.0;57.14;58.18;58.57;0.0;0.006632653061224497;0.01428571428571429;0.006377551020408163;0.0011887735486351386;0.0016581632653061243;0.0;29.29;63.57;65.71;64.52;64.64;0.0;0.03533163265306122;0.023852040816326532;0.008035714285714287;0.0070285151307875205;0.008832908163265304;0.0;27.14;56.43;70.71;65.91;63.57;0.0;0.007397959183673465;0.004081632653061225;0.0034438775510204104;0.0022857622238093623;0.0018494897959183665;0.0;34.29;72.86;61.43;65.34;67.14;0.0;0.008673469387755095;0.005484693877551016;0.002168367346938779;0.0015167788644301827;0.0021683673469387738;0.0;40.0;76.43;63.57;67.8;70.0;0.0;0.009183673469387747;0.006760204081632647;0.004719387755102043;0.001841080004986745;0.002295918367346937;0.0;35.71;64.29;71.43;69.19;67.86;0.0;0.004464285714285706;0.006377551020408166;0.0012755102040816315;0.0006360705508387452;0.0011160714285714266;0.0;39.29;69.29;70.0;69.8;69.64;0.0;0.0025510204081632586;0.002933673469387753;0.0010204081632653053;0.0004993809091961189;0.0006377551020408148;0.0;26.43;65.0;61.43;62.7;63.21;28.41;0.003571428571428581;0.0021683673469387785;0.0002551020408163279;0.0006104970327409601;0.000892857142857145;0.0004835930769833184;34.29;70.71;63.57;66.11;67.14;29.82;0.00739795918367346;0.002806122448979589;0.0040816326530612275;0.0017516179255469824;0.0018494897959183648;0.00041702560889654767;36.43;64.29;72.14;69.73;68.21;29.82;0.0034438775510204044;0.004464285714285717;0.0008928571428571421;0.000505724895950967;0.0008609693877551011;0.00010376693554702828;35.0;66.43;68.57;67.95;67.5;31.86;0.0034438775510204057;0.002933673469387756;0.0021683673469387738;0.001035124377413429;0.0008609693877551015;0.000371994674602552
1708661255722239460,1,1,40,(30, 25, 15);32.14;64.29;67.86;66.67;66.07;26.43;62.86;63.57;62.91;63.21;0.0;0.01122448979591837;0.01823979591836735;0.0028061224489795943;0.001550630963373344;0.002806122448979593;0.0;32.86;70.0;62.86;65.8;66.43;0.0;0.016836734693877562;0.0010204081632653051;0.011224489795918368;0.005750213161571337;0.00420918367346939;0.0;25.71;63.57;62.14;62.74;62.86;0.0;0.00982142857142858;0.004081632653061226;0.004209183673469391;0.0026334580693440192;0.002455357142857145;0.0;37.86;70.71;67.14;68.27;68.93;0.0;0.00612244897959183;0.012372448979591836;0.0028061224489795925;0.0005752846445458344;0.0015306122448979578;0.0;60.71;86.43;74.29;77.12;80.36;0.0;0.005739795918367334;0.0015306122448979615;0.0021683673469387738;0.0013325266488076301;0.0014349489795918336;0.0;55.71;84.29;71.43;74.71;77.86;0.0;0.0010204081632653045;0.0016581632653061237;0.0006377551020408157;0.0001676672348901046;0.0002551020408163261;0.0;57.86;85.71;72.14;75.47;78.93;0.0;0.0034438775510204057;0.0012755102040816354;0.0008928571428571421;0.0006371244736469317;0.0008609693877551014;0.0;58.57;84.29;74.29;76.68;79.29;0.0;0.0003826530612244919;0.0016581632653061237;0.0008928571428571422;0.00019493866809974198;9.566326530612295e-5;0.0;56.43;84.29;72.14;75.18;78.21;27.1;0.004719387755102043;0.0016581632653061237;0.001530612244897958;0.0010578631839155916;0.0011798469387755107;0.00017844788062137466;53.57;83.57;70.0;73.6;76.79;28.41;0.0006377551020408157;0.0010204081632653053;0.00038265306122448945;9.766618985235948e-5;0.00015943877551020393;0.00021928107134466354;62.86;86.43;76.43;78.54;81.43;27.08;0.003571428571428568;0.002168367346938778;0.0003826530612244895;0.00043656978005780696;0.0008928571428571419;0.0003759104080194217;62.14;86.43;75.71;78.1;81.07;27.61;0.0016581632653061224;0.0008928571428571452;0.0008928571428571422;0.0004504170856785623;0.00041454081632653065;0.00020166027096875307
1708661255722239460,1,1,60,(30, 75, 50);39.29;64.29;75.0;72.0;69.64;30.0;70.71;59.29;63.54;65.0;0.0;0.0029336734693877595;0.004719387755102037;0.003571428571428574;0.0007039547823042374;0.0007334183673469399;0.0;24.29;63.57;60.71;61.62;62.14;0.0;0.01619897959183673;0.016198979591836735;0.004464285714285718;0.0030987937205786235;0.004049744897959183;0.0;32.14;67.14;65.0;65.78;66.07;0.0;0.013392857142857144;0.003443877551020411;0.004081632653061226;0.003607902451556705;0.003348214285714286;0.0;32.14;75.0;57.14;63.82;66.07;0.0;0.06441326530612244;0.015306122448979588;0.021045918367346938;0.01194681760160876;0.01610331632653061;0.0;58.57;82.86;75.71;77.33;79.29;0.0;0.0010204081632653053;0.0002551020408163263;0.00025510204081632634;0.00022222222222222212;0.0002551020408163263;0.0;57.14;82.14;75.0;76.77;78.57;0.0;0.0012755102040816315;0.0019132653061224513;0.0019132653061224472;0.0006264168953585493;0.00031887755102040787;0.0;54.29;81.43;72.86;75.05;77.14;0.0;0.003443877551020412;0.0008928571428571421;0.0016581632653061209;0.00099347007466274;0.000860969387755103;0.0;63.57;83.57;80.0;80.75;81.79;0.0;0.003443877551020404;0.0010204081632653053;0.001658163265306121;0.0011647637967611047;0.0008609693877551011;0.0;59.29;81.43;77.86;78.68;79.64;28.58;0.0010204081632653053;0.0008928571428571422;0.0008928571428571421;0.0004543218851751472;0.00025510204081632634;0.0005736549455713073;57.86;80.71;77.14;78.01;78.93;30.97;0.00025510204081632785;0.0003826530612244895;0.0010204081632653053;0.00044450043391842145;6.377551020408196e-5;0.00051883467773514;56.43;80.0;76.43;77.28;78.21;28.94;0.002168367346938777;0.0003826530612244895;0.0010204081632653053;0.0006874765760446091;0.0005420918367346942;0.0008183882841256171;61.43;82.14;79.29;79.93;80.71;31.26;0.0008928571428571413;0.0025510204081632673;0.000892857142857142;0.00024807033152767226;0.00022321428571428533;0.000438121917568492
1708661255722239460,1,1,60,(30, 45, 30);14.29;64.29;50.0;56.25;57.14;29.29;69.29;60.0;63.45;64.64;0.0;0.005994897959183674;0.008035714285714285;0.004719387755102043;0.0013413712918982283;0.0014987244897959188;0.0;27.86;60.71;67.14;65.16;63.93;0.0;0.02193877551020408;0.005102040816326534;0.008545918367346937;0.008019759172670537;0.00548469387755102;0.0;30.71;65.71;65.0;65.29;65.36;0.0;0.026530612244897965;0.01058673469387755;0.007908163265306124;0.007305290876705715;0.006632653061224491;0.0;31.43;70.71;60.71;64.54;65.71;0.0;0.008545918367346937;0.007270408163265305;0.008290816326530613;0.001939625578172448;0.0021364795918367347;0.0;50.71;80.71;70.0;72.99;75.36;0.0;0.0034438775510204104;0.001658163265306121;0.002295918367346937;0.0010404957585802902;0.0008609693877551026;0.0;52.86;80.0;72.86;74.72;76.43;0.0;0.0008928571428571428;0.00038265306122448945;0.0010204081632653053;0.00041037558627295584;0.0002232142857142857;0.0;51.43;80.71;70.71;73.41;75.71;0.0;0.001658163265306125;0.0010204081632653053;0.0008928571428571421;0.0004216860332822176;0.00041454081632653125;0.0;55.0;82.86;72.14;74.87;77.5;0.0;0.006760204081632648;0.0021683673469387738;0.0021683673469387738;0.0015395464435290392;0.001690051020408162;0.0;53.57;81.43;72.14;74.58;76.79;28.16;0.004464285714285723;0.0008928571428571422;0.0021683673469387733;0.001308942563011003;0.0011160714285714305;0.0003369614102054653;50.71;77.86;72.86;74.16;75.36;29.47;0.0008928571428571476;0.0008928571428571421;0.0003826530612244894;0.00018340947638300633;0.0002232142857142869;8.418826846268332e-5;51.43;82.14;69.29;72.92;75.71;28.32;0.005484693877551024;0.0006377551020408157;0.0035714285714285726;0.0016747208341034677;0.001371173469387756;0.00010768266896389727;55.71;83.57;72.14;75.22;77.86;29.29;0.0016581632653061228;0.0010204081632653053;0.0034438775510204052;0.0014176402953496794;0.0004145408163265307;0.000532539744694183
259120567676784894,1,2,20,(30, 75, 50);28.57;57.14;71.43;66.67;64.29;17.14;55.71;61.43;59.22;58.57;0.0;0.006632653061224497;0.013137755102040821;0.00854591836734694;0.00141358024691358;0.0016581632653061241;0.0;37.86;71.43;66.43;68.31;68.93;0.0;0.00229591836734694;0.0031887755102040787;0.005484693877551024;0.0013452627535833145;0.000573979591836735;0.0;19.29;57.86;61.43;59.86;59.64;0.0;0.011862244897959185;0.008545918367346942;0.0028061224489795943;0.0024883340697650835;0.002965561224489796;0.0;33.57;67.14;66.43;67.34;66.79;0.0;0.02589285714285713;0.005357142857142859;0.01568877551020408;0.008908072474355147;0.006473214285714282;0.0;58.57;82.14;76.43;77.8;79.29;0.0;0.0029336734693877547;0.004464285714285717;0.001658163265306121;0.0006169562570944744;0.0007334183673469388;0.0;65.0;86.43;78.57;80.22;82.5;0.0;0.0008928571428571429;0.0008928571428571452;0.0012755102040816315;0.0005638839704570988;0.0002232142857142857;0.0;60.0;82.14;77.86;78.78;80.0;0.0;0.00025510204081632785;0.0006377551020408157;0.00025510204081632634;6.846397500278372e-5;6.377551020408196e-5;0.0;62.86;83.57;79.29;80.18;81.43;0.0;0.0016581632653061226;0.0016581632653061241;0.0008928571428571421;0.0004532640319395184;0.00041454081632653065;0.0;61.43;85.0;76.43;78.27;80.71;28.05;0.005994897959183676;0.004719387755102043;0.0010204081632653053;0.0008425122226071103;0.001498724489795919;8.418826846268333e-5;66.43;87.14;79.29;80.8;83.21;29.29;0.003571428571428569;0.0010204081632653088;0.0008928571428571421;0.0007645970632443055;0.0008928571428571423;0.00046401440989897555;62.14;83.57;78.57;79.59;81.07;29.03;0.00038265306122448707;0.00038265306122448945;0.0;1.4268727705113017e-5;9.566326530612177e-5;0.00021144960451092556;68.57;87.14;81.43;82.45;84.29;30.18;0.005994897959183676;0.0029336734693877578;0.0015306122448979578;0.0012678579011866317;0.001498724489795919;0.0005423290782363554
